exchange,symbol
NSEKE,ABSA
NSEKE,AMAC
NSEKE,BAT
NSEKE,BKG
NSEKE,BOC
NSEKE,BRIT
NSEKE,CARB
NSEKE,CGEN
NSEKE,CIC
NSEKE,COOP
NSEKE,CRWN
NSEKE,CTUM
NSEKE,DTK
NSEKE,EABL
NSEKE,EGAD
NSEKE,EQTY
NSEKE,EVRD
NSEKE,FTGH
NSEKE,HAFR
NSEKE,HFCK
NSEKE,IMH
NSEKE,JUB
NSEKE,KAPC
NSEKE,KCB
NSEKE,KEGN
NSEKE,KNRE
NSEKE,KPLC
NSEKE,KQ
NSEKE,KUKZ
NSEKE,LBTY
NSEKE,LKL
NSEKE,NBV
NSEKE,NCBA
NSEKE,NMG
NSEKE,NSE
NSEKE,OCH
NSEKE,PORT
NSEKE,SASN
NSEKE,SBIC
NSEKE,SCAN
NSEKE,SCBK
NSEKE,SCOM
NSEKE,SGL
NSEKE,SKL
NSEKE,SLAM
NSEKE,SMER
NSEKE,TOTL
NSEKE,TPSE
NSEKE,UCHM
NSEKE,UMME
NSEKE,UNGA
NSEKE,WTK
NSEKE,XPRS
