exchange,symbol
CSEMA,ZDJ
CSEMA,WAA
CSEMA,VCN
CSEMA,UMR
CSEMA,TQM
CSEMA,TMA
CSEMA,TGC
CSEMA,STR
CSEMA,SRM
CSEMA,SOT
CSEMA,SNP
CSEMA,SNA
CSEMA,SMI
CSEMA,SLF
CSEMA,SID
CSEMA,SBM
CSEMA,SAH
CSEMA,S2M
CSEMA,RIS
CSEMA,REB
CSEMA,RDS
CSEMA,PRO
CSEMA,OUL
CSEMA,NEJ
CSEMA,MUT
CSEMA,MSA
CSEMA,MOX
CSEMA,MNG
CSEMA,MLE
CSEMA,MIC
CSEMA,MDP
CSEMA,MAB
CSEMA,M2M
CSEMA,LHM
CSEMA,LES
CSEMA,LBV
CSEMA,JET
CSEMA,INV
CSEMA,IMO
CSEMA,IBC
CSEMA,IAM
CSEMA,HPS
CSEMA,GTM
CSEMA,GAZ
CSEMA,FBR
CSEMA,EQD
CSEMA,DYT
CSEMA,DWY
CSEMA,DHO
CSEMA,CTM
CSEMA,CSR
CSEMA,CRS
CSEMA,COL
CSEMA,CMT
CSEMA,CMG
CSEMA,CMA
CSEMA,CIH
CSEMA,CFG
CSEMA,CDM
CSEMA,CAP
CSEMA,BOA
CSEMA,BCP
CSEMA,BCI
CSEMA,BAL
CSEMA,ATW
CSEMA,ATL
CSEMA,ATH
CSEMA,ARD
CSEMA,ALM
CSEMA,AKT
CSEMA,AGM
CSEMA,AFM
CSEMA,AFI
CSEMA,ADI
CSEMA,ADH
