exchange,symbol
TADAWUL,1010
TADAWUL,1020
TADAWUL,1030
TADAWUL,1050
TADAWUL,1060
TADAWUL,1080
TADAWUL,1111
TADAWUL,1120
TADAWUL,1140
TADAWUL,1150
TADAWUL,1180
TADAWUL,1182
TADAWUL,1183
TADAWUL,1201
TADAWUL,1202
TADAWUL,1210
TADAWUL,1211
TADAWUL,1212
TADAWUL,1213
TADAWUL,1214
TADAWUL,1301
TADAWUL,1302
TADAWUL,1303
TADAWUL,1304
TADAWUL,1320
TADAWUL,1321
TADAWUL,1322
TADAWUL,1323
TADAWUL,1810
TADAWUL,1820
TADAWUL,1830
TADAWUL,1831
TADAWUL,1832
TADAWUL,1833
TADAWUL,1834
TADAWUL,1835
TADAWUL,2001
TADAWUL,2010
TADAWUL,2020
TADAWUL,2030
TADAWUL,2040
TADAWUL,2050
TADAWUL,2060
TADAWUL,2070
TADAWUL,2080
TADAWUL,2081
TADAWUL,2082
TADAWUL,2083
TADAWUL,2084
TADAWUL,2090
TADAWUL,2100
TADAWUL,2110
TADAWUL,2120
TADAWUL,2130
TADAWUL,2140
TADAWUL,2150
TADAWUL,2160
TADAWUL,2170
TADAWUL,2180
TADAWUL,2190
TADAWUL,2200
TADAWUL,2210
TADAWUL,2220
TADAWUL,2222
TADAWUL,2223
TADAWUL,2230
TADAWUL,2240
TADAWUL,2250
TADAWUL,2270
TADAWUL,2280
TADAWUL,2281
TADAWUL,2282
TADAWUL,2283
TADAWUL,2284
TADAWUL,2285
TADAWUL,2286
TADAWUL,2287
TADAWUL,2290
TADAWUL,2300
TADAWUL,2310
TADAWUL,2320
TADAWUL,2330
TADAWUL,2340
TADAWUL,2350
TADAWUL,2360
TADAWUL,2370
TADAWUL,2380
TADAWUL,2381
TADAWUL,2382
TADAWUL,3002
TADAWUL,3003
TADAWUL,3004
TADAWUL,3005
TADAWUL,3007
TADAWUL,3008
TADAWUL,3010
TADAWUL,3020
TADAWUL,3030
TADAWUL,3040
TADAWUL,3050
TADAWUL,3060
TADAWUL,3080
TADAWUL,3090
TADAWUL,3091
TADAWUL,3092
TADAWUL,4001
TADAWUL,4002
TADAWUL,4003
TADAWUL,4004
TADAWUL,4005
TADAWUL,4006
TADAWUL,4007
TADAWUL,4008
TADAWUL,4009
TADAWUL,4011
TADAWUL,4012
TADAWUL,4013
TADAWUL,4014
TADAWUL,4015
TADAWUL,4016
TADAWUL,4017
TADAWUL,4018
TADAWUL,4019
TADAWUL,4020
TADAWUL,4021
TADAWUL,4030
TADAWUL,4031
TADAWUL,4040
TADAWUL,4050
TADAWUL,4051
TADAWUL,4061
TADAWUL,4070
TADAWUL,4071
TADAWUL,4072
TADAWUL,4080
TADAWUL,4081
TADAWUL,4082
TADAWUL,4083
TADAWUL,4084
TADAWUL,4090
TADAWUL,4100
TADAWUL,4110
TADAWUL,4130
TADAWUL,4140
TADAWUL,4141
TADAWUL,4142
TADAWUL,4143
TADAWUL,4144
TADAWUL,4145
TADAWUL,4146
TADAWUL,4147
TADAWUL,4150
TADAWUL,4160
TADAWUL,4161
TADAWUL,4162
TADAWUL,4163
TADAWUL,4164
TADAWUL,4165
TADAWUL,4170
TADAWUL,4180
TADAWUL,4190
TADAWUL,4191
TADAWUL,4192
TADAWUL,4193
TADAWUL,4194
TADAWUL,4200
TADAWUL,4210
TADAWUL,4220
TADAWUL,4230
TADAWUL,4240
TADAWUL,4250
TADAWUL,4260
TADAWUL,4261
TADAWUL,4262
TADAWUL,4263
TADAWUL,4264
TADAWUL,4265
TADAWUL,4270
TADAWUL,4280
TADAWUL,4290
TADAWUL,4291
TADAWUL,4292
TADAWUL,4300
TADAWUL,4310
TADAWUL,4320
TADAWUL,4321
TADAWUL,4322
TADAWUL,4323
TADAWUL,4324
TADAWUL,4325
TADAWUL,4326
TADAWUL,4327
TADAWUL,5110
TADAWUL,6001
TADAWUL,6002
TADAWUL,6004
TADAWUL,6010
TADAWUL,6012
TADAWUL,6013
TADAWUL,6014
TADAWUL,6016
TADAWUL,6017
TADAWUL,6018
TADAWUL,6019
TADAWUL,6020
TADAWUL,6040
TADAWUL,6050
TADAWUL,6060
TADAWUL,6070
TADAWUL,6090
TADAWUL,7010
TADAWUL,7020
TADAWUL,7030
TADAWUL,7040
TADAWUL,7200
TADAWUL,7201
TADAWUL,7202
TADAWUL,7203
TADAWUL,7204
TADAWUL,7211
TADAWUL,8010
TADAWUL,8012
TADAWUL,8020
TADAWUL,8030
TADAWUL,8040
TADAWUL,8050
TADAWUL,8060
TADAWUL,8070
TADAWUL,8100
TADAWUL,8120
TADAWUL,8150
TADAWUL,8160
TADAWUL,8170
TADAWUL,8180
TADAWUL,8190
TADAWUL,8200
TADAWUL,8210
TADAWUL,8230
TADAWUL,8240
TADAWUL,8250
TADAWUL,8260
TADAWUL,8280
TADAWUL,8300
TADAWUL,8310
TADAWUL,8311
TADAWUL,8313
TADAWUL,9510
TADAWUL,9513
TADAWUL,9514
TADAWUL,9515
TADAWUL,9516
TADAWUL,9517
TADAWUL,9521
TADAWUL,9522
TADAWUL,9523
TADAWUL,9524
TADAWUL,9525
TADAWUL,9527
TADAWUL,9530
TADAWUL,9532
TADAWUL,9533
TADAWUL,9535
TADAWUL,9536
TADAWUL,9537
TADAWUL,9538
TADAWUL,9539
TADAWUL,9540
TADAWUL,9541
TADAWUL,9543
TADAWUL,9544
TADAWUL,9545
TADAWUL,9546
TADAWUL,9547
TADAWUL,9548
TADAWUL,9549
TADAWUL,9550
TADAWUL,9551
TADAWUL,9552
TADAWUL,9553
TADAWUL,9555
TADAWUL,9556
TADAWUL,9557
TADAWUL,9558
TADAWUL,9559
TADAWUL,9560
TADAWUL,9561
TADAWUL,9562
TADAWUL,9563
TADAWUL,9564
TADAWUL,9565
TADAWUL,9566
TADAWUL,9567
TADAWUL,9568
TADAWUL,9569
TADAWUL,9570
TADAWUL,9571
TADAWUL,9572
TADAWUL,9574
TADAWUL,9575
TADAWUL,9576
TADAWUL,9577
TADAWUL,9578
TADAWUL,9579
TADAWUL,9580
TADAWUL,9581
TADAWUL,9583
TADAWUL,9584
TADAWUL,9585
TADAWUL,9586
TADAWUL,9587
TADAWUL,9588
TADAWUL,9589
TADAWUL,9590
TADAWUL,9591
TADAWUL,9592
TADAWUL,9593
TADAWUL,9594
TADAWUL,9595
TADAWUL,9596
TADAWUL,9597
TADAWUL,9598
TADAWUL,9599
TADAWUL,9600
TADAWUL,9601
TADAWUL,9602
TADAWUL,9603
TADAWUL,9604
TADAWUL,9605
TADAWUL,9606
TADAWUL,9607
TADAWUL,9608
TADAWUL,9609
TADAWUL,9610
TADAWUL,9611
TADAWUL,9612
TADAWUL,9613
TADAWUL,9614
TADAWUL,9615
TADAWUL,9617
TADAWUL,9618
TADAWUL,9619
TADAWUL,9620
TADAWUL,9621
TADAWUL,9622
TADAWUL,9623
TADAWUL,9624
TADAWUL,9625
TADAWUL,9626
TADAWUL,9627
TADAWUL,9628
TADAWUL,9630
TADAWUL,9631
TADAWUL,9632
TADAWUL,9633
TADAWUL,9634
TADAWUL,9635
TADAWUL,9636
TADAWUL,9637
TADAWUL,9639
TADAWUL,9640
TADAWUL,9641
TADAWUL,9642
TADAWUL,9644
TADAWUL,9645
TADAWUL,9647
TADAWUL,9648
TADAWUL,9649
TADAWUL,9650
TADAWUL,9651
