exchange,symbol
ADX,2POINTZERO
ADX,ABNIC
ADX,ADAVIATION
ADX,ADCB
ADX,ADIB
ADX,ADNH
ADX,ADNHC
ADX,ADNIC
ADX,ADNOCDIST
ADX,ADNOCDRILL
ADX,ADNOCGAS
ADX,ADNOCLS
ADX,ADPORTS
ADX,ADSB
ADX,AGILITY
ADX,AGTHIA
DFM,AIRARABIA
DFM,AJMANBANK
DFM,ALANSARI
ADX,ALDAR
DFM,ALEC
ADX,ALEFEDT
DFM,ALFIRDOUS
ADX,ALPHADATA
ADX,ALPHADHABI
DFM,ALRAMZ
DFM,ALSALAMSUDAN
DFM,AMAN
DFM,AMANAT
DFM,AMLAK
ADX,AMR
ADX,ANAN
ADX,APEX
ADX,ARAM
DFM,ARMX
ADX,ASM
DFM,ASNIC
ADX,AWNIC
DFM,BHMCAPITAL
ADX,BILDCO
ADX,BOROUGE
ADX,BOS
ADX,BURJEEL
DFM,CBD
ADX,CBI
ADX,DANA
NASDAQDUBAI,DEPA
DFM,DEWA
DFM,DEYAAR
DFM,DFM
DFM,DIB
DFM,DIC
DFM,DIN
DFM,DNIR
DFM,DRC
ADX,DRIVE
DFM,DSI
DFM,DTC
DFM,DU
ADX,E7
ADX,EAND
ADX,EASYLEASE
DFM,EIBANK
DFM,EMAAR
DFM,EMAARDEV
DFM,EMIRATESNBD
DFM,EMPOWER
ADX,EMSTEEL
DFM,ERC
ADX,ESG
ADX,ESHRAQ
ADX,FAB
ADX,FCI
ADX,FERTIGLB
ADX,FH
ADX,FNF
ADX,GCEM
ADX,GHITHA
ADX,GMPC
DFM,GULFNAV
ADX,HAYAH
ADX,HH
ADX,ICAP
ADX,IH
ADX,IHC
ADX,INVICTUS
ADX,JULPHAR
ADX,KICO
ADX,LULU
ADX,MAIR
ADX,MANAZEL
DFM,MASQ
ADX,MODON
ADX,NBF
ADX,NBQ
DFM,NCC
ADX,NCTH
DFM,NGI
ADX,NMDC
ADX,NMDCENR
ADX,OEIHC
DFM,ORIENT
ADX,PALMS
DFM,PARKIN
ADX,PHX
ADX,PRESIGHT
ADX,PUREHEALTH
ADX,QIC
ADX,RAKBANK
ADX,RAKCEC
ADX,RAKPROP
ADX,RAKWCT
ADX,RAPCO
ADX,RPM
DFM,SALAMA
DFM,SALIK
ADX,SCIDC
DFM,SHUAA
ADX,SIB
ADX,SPACE42
DFM,SPINNEYS
ADX,SUDATEL
DFM,SUKOON
DFM,SUKOONTAKAFL
DFM,TAALEEM
DFM,TABREED
DFM,TAKAFUL_EM
DFM,TALABAT
ADX,TAQA
DFM,TECOM
ADX,TKFL
ADX,UAB
DFM,UFC
DFM,UNIKAI
DFM,UNIONCOOP
DFM,UPP
ADX,WAHA
DFM,WATANIA
