exchange,symbol
JSE,ZZD
JSE,ZED
JSE,YYLBEE
JSE,YRK
JSE,XII
JSE,WVR
JSE,WHL
JSE,WBO
JSE,WBC
JSE,VUN
JSE,VOD
JSE,VIS
JSE,VAL
JSE,UPL
JSE,TSG
JSE,TRU
JSE,TRL
JSE,TPC
JSE,TMT
JSE,TLM
JSE,TKG
JSE,THA
JSE,TGA
JSE,TFG
JSE,TBS
JSE,SZK
JSE,SYG
JSE,SUR
JSE,SUI
JSE,SSW
JSE,SSU
JSE,SSK
JSE,SPP
JSE,SPG
JSE,SOL
JSE,SOH
JSE,SNV
JSE,SNT
JSE,SLM
JSE,SHP
JSE,SHG
JSE,SEP
JSE,SDO
JSE,SBP
JSE,SBK
JSE,SAP
JSE,RNG
JSE,RMH
JSE,RLO
JSE,RFG
JSE,REN
JSE,REM
JSE,RCL
JSE,RBX
JSE,RBO
JSE,QFH
JSE,PPR
JSE,PPH
JSE,PPE
JSE,PPC
JSE,PMV
JSE,PMR
JSE,PIK
JSE,PBT
JSE,OUT
JSE,OPA
JSE,OMU
JSE,OMN
JSE,OCE
JSE,NY1
JSE,NWL
JSE,NVS
JSE,NTU
JSE,NTC
JSE,NRP
JSE,NPN
JSE,NPK
JSE,NPH
JSE,NED
JSE,NCS
JSE,MTU
JSE,MTNZF
JSE,MTN
JSE,MTM
JSE,MTH
JSE,MTA
JSE,MST
JSE,MSP
JSE,MRP
JSE,MRF
JSE,MPT
JSE,MMP
JSE,MHB
JSE,MFL
JSE,MDI
JSE,LTE
JSE,LHC
JSE,LEW
JSE,LBR
JSE,LAB
JSE,KST
JSE,KIO
JSE,KAP
JSE,KAL
JSE,JSE
JSE,IVT
JSE,ITE
JSE,ISB
JSE,ISA
JSE,IOC
JSE,INL
JSE,IMP
JSE,HUG
JSE,HLM
JSE,HDC
JSE,HCI
JSE,HAR
JSE,GPL
JSE,GND
JSE,GML
JSE,GFI
JSE,FTH
JSE,FSR
JSE,FGL
JSE,FFB
JSE,FBR
JSE,EXX
JSE,EPE
JSE,ENX
JSE,EMH
JSE,DTC
JSE,DSY
JSE,DRD
JSE,DNB
JSE,DCP
JSE,CSB
JSE,CPR
JSE,CPP
JSE,CPI
JSE,COH
JSE,CML
JSE,CMH
JSE,CLS
JSE,CLI
JSE,CLH
JSE,CKS
JSE,CHP
JSE,CGR
JSE,CCD
JSE,CCC
JSE,CAT
JSE,CAA
JSE,BWN
JSE,BVT
JSE,BRN
JSE,BOX
JSE,BLU
JSE,BIK
JSE,BID
JSE,BEL
JSE,BCF
JSE,BAT
JSE,BAC
JSE,AXX
JSE,AVI
JSE,ART
JSE,ARL
JSE,ARI
JSE,ARA
JSE,APN
JSE,ANI
JSE,AME
JSE,AFT
JSE,AFH
JSE,AFE
JSE,AEL
JSE,AEG
JSE,ADR
JSE,ADH
JSE,ACT
JSE,ACS
JSE,ACL
JSE,ABG
JSE,4SI
