exchange,symbol
ASX,10X
ASX,14D
ASX,1AD
ASX,1AE
ASX,1AI
ASX,1CG
ASX,1MC
ASX,1TT
ASX,29M
ASX,3DA
ASX,3DP
ASX,3PL
ASX,4DS
ASX,4DX
ASX,5GG
ASX,5GN
ASX,88E
ASX,8CO
ASX,A1G
ASX,A1M
ASX,A1N
ASX,A3D
ASX,A4N
ASX,A8G
ASX,AAC
ASX,AAJ
ASX,AAL
ASX,AAM
ASX,AAP
ASX,AAR
ASX,AAU
ASX,ABB
ASX,ABE
ASX,ABR
ASX,ABV
ASX,ABX
ASX,ABY
ASX,ACE
ASX,ACF
ASX,ACL
ASX,ACM
ASX,ACP
ASX,ACR
ASX,ACS
ASX,ACU
ASX,ACW
ASX,AD1
ASX,AD8
ASX,ADC
ASX,ADD
ASX,ADG
ASX,ADH
ASX,ADN
ASX,ADO
ASX,ADR
ASX,ADS
ASX,ADV
ASX,ADX
ASX,AEE
ASX,AEF
ASX,AEG
ASX,AEI
ASX,AEL
ASX,AEM
ASX,AER
ASX,AEU
ASX,AEV
ASX,AFA
ASX,AFG
ASX,AFL
ASX,AGC
ASX,AGD
ASX,AGE
ASX,AGI
ASX,AGL
ASX,AGN
ASX,AGR
ASX,AGY
ASX,AHC
ASX,AHE
ASX,AHF
ASX,AHK
ASX,AHL
ASX,AHN
ASX,AHX
ASX,AI1
ASX,AIH
ASX,AIM
ASX,AIS
ASX,AIV
ASX,AJL
ASX,AJX
ASX,AKA
ASX,AKG
ASX,AKM
ASX,AKN
ASX,AKO
ASX,AL3
ASX,ALA
ASX,ALB
ASX,ALC
ASX,ALD
ASX,ALK
ASX,ALL
ASX,ALQ
ASX,ALR
ASX,ALV
ASX,ALX
ASX,ALY
ASX,AM5
ASX,AMA
ASX,AMI
ASX,AMN
ASX,AMO
ASX,AMP
ASX,AMS
ASX,AMU
ASX,AMX
ASX,AN1
ASX,ANG
ASX,ANN
ASX,ANO
ASX,ANR
ASX,ANX
ASX,ANZ
ASX,AOA
ASX,AOK
ASX,AON
ASX,AOV
ASX,APA
ASX,APC
ASX,APE
ASX,APL
ASX,APX
ASX,AQD
ASX,AQI
ASX,AQN
ASX,AQX
ASX,AQZ
ASX,AR1
ASX,AR3
ASX,AR9
ASX,ARA
ASX,ARB
ASX,ARD
ASX,ARI
ASX,ARL
ASX,ARN
ASX,ARR
ASX,ART
ASX,ARU
ASX,ARV
ASX,ARX
ASX,AS1
ASX,AS2
ASX,ASB
ASX,ASG
ASX,ASH
ASX,ASL
ASX,ASM
ASX,ASN
ASX,ASP
ASX,ASQ
ASX,ASV
ASX,ASX
ASX,AT1
ASX,AT4
ASX,ATA
ASX,ATC
ASX,ATG
ASX,ATH
ASX,ATP
ASX,ATR
ASX,ATS
ASX,ATT
ASX,ATV
ASX,ATX
ASX,AU1
ASX,AUA
ASX,AUB
ASX,AUC
ASX,AUE
ASX,AUG
ASX,AUK
ASX,AUQ
ASX,AUR
ASX,AUV
ASX,AUZ
ASX,AV1
ASX,AVA
ASX,AVD
ASX,AVE
ASX,AVG
ASX,AVL
ASX,AVM
ASX,AVW
ASX,AW1
ASX,AWJ
ASX,AX1
ASX,AX8
ASX,AXE
