exchange,symbol
DSEBD,AAMRANET
DSEBD,AAMRATECH
DSEBD,ABBANK
DSEBD,ACFL
DSEBD,ACI
DSEBD,ACIFORMULA
DSEBD,ACMELAB
DSEBD,ACMEPL
DSEBD,ACTIVEFINE
DSEBD,ADNTEL
DSEBD,ADVENT
DSEBD,AFCAGRO
DSEBD,AFTABAUTO
DSEBD,AGNISYSL
DSEBD,AGRANINS
DSEBD,AIL
DSEBD,AL-HAJTEX
DSEBD,ALARABANK
DSEBD,ALIF
DSEBD,ALLTEX
DSEBD,AMANFEED
DSEBD,AMBEEPHA
DSEBD,AMCLPRAN
DSEBD,ANLIMAYARN
DSEBD,ANWARGALV
DSEBD,AOL
DSEBD,APEXFOODS
DSEBD,APEXFOOT
DSEBD,APEXSPINN
DSEBD,APEXTANRY
DSEBD,APOLOISPAT
DSEBD,ARAMIT
DSEBD,ARAMITCEM
DSEBD,ARGONDENIM
DSEBD,ASIAINS
DSEBD,ASIAPACINS
DSEBD,ASIATICLAB
DSEBD,ATLASBANG
DSEBD,AZIZPIPES
DSEBD,BANGAS
DSEBD,BANKASIA
DSEBD,BARKAPOWER
DSEBD,BATASHOE
DSEBD,BATBC
DSEBD,BAYLEASING
DSEBD,BBS
DSEBD,BBSCABLES
DSEBD,BDAUTOCA
DSEBD,BDCOM
DSEBD,BDFINANCE
DSEBD,BDLAMPS
DSEBD,BDTHAI
DSEBD,BDTHAIFOOD
DSEBD,BDWELDING
DSEBD,BEACHHATCH
DSEBD,BEACONPHAR
DSEBD,BENGALWTL
DSEBD,BERGERPBL
DSEBD,BESTHLDNG
DSEBD,BEXIMCO
DSEBD,BGIC
DSEBD,BIFC
DSEBD,BNICL
DSEBD,BPML
DSEBD,BPPL
DSEBD,BRACBANK
DSEBD,BSC
DSEBD,BSCPLC
DSEBD,BSRMLTD
DSEBD,BSRMSTEEL
DSEBD,BXPHARMA
DSEBD,CENTRALINS
DSEBD,CENTRALPHL
DSEBD,CITYBANK
DSEBD,CITYGENINS
DSEBD,CLICL
DSEBD,CNATEX
DSEBD,CONFIDCEM
DSEBD,CONTININS
DSEBD,COPPERTECH
DSEBD,CROWNCEMNT
DSEBD,CRYSTALINS
DSEBD,CVOPRL
DSEBD,DACCADYE
DSEBD,DAFODILCOM
DSEBD,DBH
DSEBD,DELTALIFE
DSEBD,DELTASPINN
DSEBD,DESCO
DSEBD,DESHBANDHU
DSEBD,DGIC
DSEBD,DHAKABANK
DSEBD,DHAKAINS
DSEBD,DOMINAGE
DSEBD,DOREENPWR
DSEBD,DSHGARME
DSEBD,DSSL
DSEBD,DULAMIACOT
DSEBD,DUTCHBANGL
DSEBD,EASTERNINS
DSEBD,EASTLAND
DSEBD,EASTRNLUB
DSEBD,EBL
DSEBD,ECABLES
DSEBD,EGEN
DSEBD,EHL
DSEBD,EIL
DSEBD,EMERALDOIL
DSEBD,ENVOYTEX
DSEBD,EPGL
DSEBD,ESQUIRENIT
DSEBD,ETL
DSEBD,FAMILYTEX
DSEBD,FARCHEM
DSEBD,FAREASTFIN
DSEBD,FAREASTLIF
DSEBD,FASFIN
DSEBD,FEDERALINS
DSEBD,FEKDIL
DSEBD,FINEFOODS
DSEBD,FIRSTFIN
DSEBD,FORTUNE
DSEBD,FUWANGCER
DSEBD,FUWANGFOOD
DSEBD,GBBPOWER
DSEBD,GEMINISEA
DSEBD,GENEXIL
DSEBD,GENNEXT
DSEBD,GHAIL
DSEBD,GHCL
DSEBD,GLOBALINS
DSEBD,GOLDENSON
DSEBD,GP
DSEBD,GPHISPAT
DSEBD,GQBALLPEN
DSEBD,GREENDELT
DSEBD,GSPFINANCE
DSEBD,HAKKANIPUL
DSEBD,HAMI
DSEBD,HEIDELBCEM
DSEBD,HFL
DSEBD,HRTEX
DSEBD,HWAWELLTEX
DSEBD,IBNSINA
DSEBD,IBP
DSEBD,ICB
DSEBD,ICBIBANK
DSEBD,ICICL
DSEBD,IDLC
DSEBD,IFADAUTOS
DSEBD,IFIC
DSEBD,ILFSL
DSEBD,INDEXAGRO
DSEBD,INTECH
DSEBD,INTRACO
DSEBD,IPDC
DSEBD,ISLAMIBANK
DSEBD,ISLAMICFIN
DSEBD,ISLAMIINS
DSEBD,ISNLTD
DSEBD,ITC
DSEBD,JAMUNABANK
DSEBD,JAMUNAOIL
DSEBD,JANATAINS
DSEBD,JHRML
DSEBD,JMISMDL
DSEBD,JUTESPINN
DSEBD,KARNAPHULI
DSEBD,KAY&QUE
DSEBD,KBPPWBIL
DSEBD,KDSALTD
DSEBD,KEYACOSMET
DSEBD,KOHINOOR
DSEBD,KPCL
DSEBD,KPPL
DSEBD,KTL
DSEBD,LANKABAFIN
DSEBD,LEGACYFOOT
DSEBD,LHB
DSEBD,LIBRAINFU
DSEBD,LINDEBD
DSEBD,LOVELLO
DSEBD,LRBDL
DSEBD,MAGURAPLEX
DSEBD,MAKSONSPIN
DSEBD,MALEKSPIN
DSEBD,MARICO
DSEBD,MATINSPINN
DSEBD,MEGCONMILK
DSEBD,MEGHNACEM
DSEBD,MEGHNAINS
DSEBD,MEGHNALIFE
DSEBD,MEGHNAPET
DSEBD,MERCANBANK
DSEBD,MERCINS
DSEBD,METROSPIN
DSEBD,MHSML
DSEBD,MIDASFIN
DSEBD,MIDLANDBNK
DSEBD,MIRACLEIND
DSEBD,MIRAKHTER
DSEBD,MITHUNKNIT
DSEBD,MJLBD
DSEBD,MLDYEING
DSEBD,MONNOAGML
DSEBD,MONNOCERA
DSEBD,MONNOFABR
DSEBD,MONOSPOOL
DSEBD,MPETROLEUM
DSEBD,MTB
DSEBD,NAHEEACP
DSEBD,NATLIFEINS
DSEBD,NAVANACNG
DSEBD,NAVANAPHAR
DSEBD,NBL
DSEBD,NCCBANK
DSEBD,NEWLINE
DSEBD,NFML
DSEBD,NHFIL
DSEBD,NITOLINS
DSEBD,NORTHERN
DSEBD,NORTHRNINS
DSEBD,NPOLYMER
DSEBD,NRBBANK
DSEBD,NRBCBANK
DSEBD,NTC
DSEBD,NTLTUBES
DSEBD,NURANI
DSEBD,OAL
DSEBD,OIMEX
DSEBD,OLYMPIC
DSEBD,ONEBANKPLC
DSEBD,ORIONINFU
DSEBD,ORIONPHARM
DSEBD,PADMALIFE
DSEBD,PADMAOIL
DSEBD,PARAMOUNT
DSEBD,PDL
DSEBD,PENINSULA
DSEBD,PEOPLESINS
DSEBD,PHARMAID
DSEBD,PHENIXINS
DSEBD,PHOENIXFIN
DSEBD,PIONEERINS
DSEBD,PLFSL
DSEBD,POPULARLIF
DSEBD,POWERGRID
DSEBD,PRAGATIINS
DSEBD,PRAGATILIF
DSEBD,PREMIERBAN
DSEBD,PREMIERCEM
DSEBD,PREMIERLEA
DSEBD,PRIMEBANK
DSEBD,PRIMEFIN
DSEBD,PRIMEINSUR
DSEBD,PRIMELIFE
DSEBD,PRIMETEX
DSEBD,PROGRESLIF
DSEBD,PROVATIINS
DSEBD,PTL
DSEBD,PUBALIBANK
DSEBD,PURABIGEN
DSEBD,QUASEMIND
DSEBD,QUEENSOUTH
DSEBD,RAHIMAFOOD
DSEBD,RAHIMTEXT
DSEBD,RAKCERAMIC
DSEBD,RANFOUNDRY
DSEBD,RDFOOD
DSEBD,RECKITTBEN
DSEBD,REGENTTEX
DSEBD,RELIANCINS
DSEBD,RENATA
DSEBD,RENWICKJA
DSEBD,REPUBLIC
DSEBD,RINGSHINE
DSEBD,ROBI
DSEBD,RSRMSTEEL
