exchange,symbol
HKEX,1
HKEX,10
HKEX,1000
HKEX,1001
HKEX,1002
HKEX,1003
HKEX,1004
HKEX,1005
HKEX,1008
HKEX,1009
HKEX,101
HKEX,1010
HKEX,1011
HKEX,1013
HKEX,1020
HKEX,1022
HKEX,1023
HKEX,1024
HKEX,1025
HKEX,1027
HKEX,1028
HKEX,1029
HKEX,103
HKEX,1030
HKEX,1036
HKEX,1037
HKEX,1038
HKEX,1039
HKEX,104
HKEX,1044
HKEX,1045
HKEX,1046
HKEX,1047
HKEX,1049
HKEX,1050
HKEX,1051
HKEX,1052
HKEX,1058
HKEX,1059
HKEX,1060
HKEX,1061
HKEX,1062
HKEX,1063
HKEX,1064
HKEX,1066
HKEX,1068
HKEX,1069
HKEX,1070
HKEX,1073
HKEX,1075
HKEX,1079
HKEX,108
HKEX,1080
HKEX,1082
HKEX,1083
HKEX,1084
HKEX,1085
HKEX,1086
HKEX,1087
HKEX,1090
HKEX,1091
HKEX,1093
HKEX,1094
HKEX,1097
HKEX,1098
HKEX,1099
HKEX,11
HKEX,1100
HKEX,1102
HKEX,1104
HKEX,1105
HKEX,1107
HKEX,1109
HKEX,111
HKEX,1110
HKEX,1111
HKEX,1112
HKEX,1113
HKEX,1114
HKEX,1115
HKEX,1116
HKEX,1117
HKEX,1118
HKEX,1119
HKEX,1120
HKEX,1121
HKEX,1122
HKEX,1123
HKEX,1124
HKEX,1125
HKEX,1126
HKEX,1127
HKEX,1128
HKEX,1129
HKEX,113
HKEX,1130
HKEX,1132
HKEX,1133
HKEX,1134
HKEX,1137
HKEX,114
HKEX,1140
HKEX,1141
HKEX,1142
HKEX,1143
HKEX,1145
HKEX,1146
HKEX,1147
HKEX,1148
HKEX,115
HKEX,1150
HKEX,1152
HKEX,1153
HKEX,1156
HKEX,1159
HKEX,116
HKEX,1161
HKEX,1162
HKEX,1163
HKEX,1164
HKEX,1166
HKEX,1167
HKEX,1168
HKEX,117
HKEX,1170
HKEX,1172
HKEX,1173
HKEX,1176
HKEX,1177
HKEX,1179
HKEX,118
HKEX,1180
HKEX,1181
HKEX,1182
HKEX,1183
HKEX,1184
HKEX,119
HKEX,1193
HKEX,1195
HKEX,1196
HKEX,1198
HKEX,1199
HKEX,12
HKEX,120
HKEX,1200
HKEX,1201
HKEX,1202
HKEX,1203
HKEX,1205
HKEX,1206
HKEX,1208
HKEX,1209
HKEX,1213
HKEX,1215
HKEX,1216
HKEX,1217
HKEX,1218
HKEX,122
HKEX,1221
HKEX,1222
HKEX,1223
HKEX,1224
HKEX,1225
HKEX,1226
HKEX,1228
HKEX,1229
HKEX,123
HKEX,1231
HKEX,1232
HKEX,1233
HKEX,1234
HKEX,1235
HKEX,1237
HKEX,1238
HKEX,1239
HKEX,124
HKEX,1240
HKEX,1241
HKEX,1243
HKEX,1244
HKEX,1245
HKEX,1247
HKEX,125
HKEX,1250
HKEX,1251
HKEX,1252
HKEX,1253
HKEX,1255
HKEX,1257
HKEX,1258
HKEX,1259
HKEX,126
HKEX,1260
HKEX,1262
HKEX,1263
HKEX,1265
HKEX,1268
HKEX,1269
HKEX,127
HKEX,1270
HKEX,1271
HKEX,1272
HKEX,1273
HKEX,1274
HKEX,1277
HKEX,1278
HKEX,128
HKEX,1280
HKEX,1281
HKEX,1282
HKEX,1283
HKEX,1284
HKEX,1285
HKEX,1286
HKEX,1289
HKEX,129
HKEX,1290
HKEX,1292
HKEX,1298
HKEX,1299
HKEX,13
HKEX,130
HKEX,1300
HKEX,1301
HKEX,1302
HKEX,1303
HKEX,1305
HKEX,1308
HKEX,131
HKEX,1310
HKEX,1312
HKEX,1313
HKEX,1314
HKEX,1315
HKEX,1316
HKEX,1317
HKEX,1318
HKEX,1319
HKEX,132
HKEX,1321
HKEX,1323
HKEX,1327
HKEX,1328
HKEX,133
HKEX,1332
HKEX,1333
HKEX,1334
HKEX,1335
HKEX,1338
HKEX,1340
HKEX,1341
HKEX,1343
HKEX,1345
HKEX,1346
HKEX,1348
HKEX,135
HKEX,1351
HKEX,1354
HKEX,1355
HKEX,1357
HKEX,1358
HKEX,1359
HKEX,136
HKEX,1361
HKEX,1362
HKEX,1364
HKEX,1368
HKEX,137
HKEX,1370
HKEX,1371
HKEX,1372
HKEX,1373
HKEX,1376
HKEX,1378
HKEX,1379
HKEX,138
HKEX,1380
HKEX,1382
HKEX,1384
HKEX,1388
HKEX,1389
HKEX,139
HKEX,1393
HKEX,1395
HKEX,1396
HKEX,1397
HKEX,1399
HKEX,14
HKEX,1400
HKEX,1401
HKEX,1402
HKEX,1405
HKEX,1407
HKEX,1408
HKEX,1410
HKEX,1412
HKEX,1415
HKEX,1416
HKEX,1417
HKEX,1418
HKEX,1419
HKEX,142
HKEX,1420
HKEX,1421
HKEX,1425
HKEX,1427
HKEX,1428
HKEX,1429
HKEX,1431
HKEX,1432
HKEX,1433
HKEX,144
HKEX,1440
HKEX,1442
HKEX,1443
HKEX,1446
HKEX,1448
HKEX,1449
HKEX,145
HKEX,1450
HKEX,1451
HKEX,1452
HKEX,1455
HKEX,1458
HKEX,1459
HKEX,1460
HKEX,1461
HKEX,1466
HKEX,1468
HKEX,147
HKEX,1470
HKEX,1471
HKEX,1472
HKEX,1473
HKEX,1475
HKEX,1476
HKEX,1477
HKEX,1478
HKEX,148
HKEX,1480
HKEX,1481
HKEX,1483
HKEX,1486
HKEX,1488
HKEX,1489
HKEX,149
HKEX,1490
HKEX,1496
