exchange,symbol
IDX,AADI
IDX,AALI
IDX,ABBA
IDX,ABDA
IDX,ABMM
IDX,ACES
IDX,ACRO
IDX,ACST
IDX,ADCP
IDX,ADES
IDX,ADHI
IDX,ADMF
IDX,ADMG
IDX,ADMR
IDX,ADRO
IDX,AEGS
IDX,AGAR
IDX,AGII
IDX,AGRO
IDX,AGRS
IDX,AHAP
IDX,AIMS
IDX,AISA
IDX,AKKU
IDX,AKPI
IDX,AKRA
IDX,AKSI
IDX,ALDO
IDX,ALII
IDX,ALKA
IDX,AMAG
IDX,AMAN
IDX,AMAR
IDX,AMFG
IDX,AMIN
IDX,AMMN
IDX,AMMS
IDX,AMOR
IDX,AMRT
IDX,ANDI
IDX,ANJT
IDX,ANTM
IDX,APEX
IDX,APIC
IDX,APII
IDX,APLI
IDX,APLN
IDX,ARCI
IDX,AREA
IDX,ARGO
IDX,ARII
IDX,ARKA
IDX,ARKO
IDX,ARNA
IDX,ARTA
IDX,ARTO
IDX,ASBI
IDX,ASDM
IDX,ASGR
IDX,ASHA
IDX,ASII
IDX,ASJT
IDX,ASLC
IDX,ASLI
IDX,ASMI
IDX,ASPI
IDX,ASPR
IDX,ASRI
IDX,ASRM
IDX,ASSA
IDX,ATAP
IDX,ATIC
IDX,ATLA
IDX,AUTO
IDX,AVIA
IDX,AWAN
IDX,AXIO
IDX,AYAM
IDX,BABP
IDX,BABY
IDX,BACA
IDX,BAIK
IDX,BAJA
IDX,BALI
IDX,BANK
IDX,BAPA
IDX,BAPI
IDX,BATA
IDX,BATR
IDX,BAUT
IDX,BAYU
IDX,BBCA
IDX,BBHI
IDX,BBKP
IDX,BBLD
IDX,BBMD
IDX,BBNI
IDX,BBRI
IDX,BBRM
IDX,BBSI
IDX,BBSS
IDX,BBTN
IDX,BBYB
IDX,BCAP
IDX,BCIC
IDX,BCIP
IDX,BDKR
IDX,BDMN
IDX,BEEF
IDX,BEER
IDX,BEKS
IDX,BELI
IDX,BELL
IDX,BESS
IDX,BEST
IDX,BFIN
IDX,BGTG
IDX,BHAT
IDX,BHIT
IDX,BIKE
IDX,BINA
IDX,BINO
IDX,BIPI
IDX,BIPP
IDX,BIRD
IDX,BISI
IDX,BJBR
IDX,BJTM
IDX,BKDP
IDX,BKSL
IDX,BKSW
IDX,BLES
IDX,BLOG
IDX,BLTA
IDX,BLTZ
IDX,BLUE
IDX,BMAS
IDX,BMBL
IDX,BMHS
IDX,BMRI
IDX,BMSR
IDX,BMTR
IDX,BNBA
IDX,BNGA
IDX,BNII
