exchange,symbol
BSE,1STCUS
NSE,20MICRONS
NSE,21STCENMGM
NSE,360ONE
BSE,3BBLACKBIO
BSE,3BFILMS
BSE,3CIT
NSE,3IINFOLTD
NSE,3MINDIA
NSE,3PLAND
BSE,4THGEN
NSE,5PAISA
NSE,63MOONS
BSE,7NR
BSE,7SEASL
BSE,7TEC
BSE,A1L
NSE,A2ZINFRA
NSE,AAATECH
NSE,AADHARHFC
BSE,AADIIND
BSE,AAIL
NSE,AAKAAR
NSE,AAKASH
BSE,AANANDALAK
BSE,AANCHALISP
NSE,AARADHYA
NSE,AAREYDRUGS
BSE,AARNAV
NSE,AARON
BSE,AARSHYAM
NSE,AARTECH
NSE,AARTIDRUGS
NSE,AARTIIND
NSE,AARTIPHARM
NSE,AARTISURF
NSE,AARVI
BSE,AASHKA
BSE,AASTAFIN
NSE,AATMAJ
NSE,AAVAS
BSE,AAYUSH
BSE,AAYUSHBULL
NSE,ABAN
BSE,ABANSENT
BSE,ABATEAS
NSE,ABB
NSE,ABBOTINDIA
NSE,ABCAPITAL
BSE,ABCINDQ
NSE,ABCOTS
NSE,ABDL
NSE,ABFRL
NSE,ABHAPOWER
BSE,ABHICAP
BSE,ABHIFIN
BSE,ABHIINFRA
NSE,ABINFRA
BSE,ABIRAFN
NSE,ABLBL
NSE,ABMINTLLTD
BSE,ABMKNO
NSE,ABREL
BSE,ABRFL
BSE,ABRIL
NSE,ABSLAMC
NSE,ABSMARINE
BSE,ABVL
NSE,ACC
BSE,ACCEDERE
BSE,ACCEL
BSE,ACCELERATE
NSE,ACCELYA
NSE,ACCENTMIC
NSE,ACCORD
NSE,ACCPL
NSE,ACCURACY
NSE,ACE
BSE,ACEALPHA
BSE,ACEEDU
BSE,ACEENGITEC
NSE,ACEINTEG
BSE,ACEMEN
BSE,ACESEPP
BSE,ACESOFT
BSE,ACGL
BSE,ACHYUT
NSE,ACI
BSE,ACIIN
BSE,ACKNIT
NSE,ACL
BSE,ACLD
BSE,ACME
NSE,ACMESOLAR
BSE,ACML
BSE,ACROW
BSE,ACSTECH
BSE,ACTIVE
NSE,ACTIVEINFR
NSE,ACUTAAS
NSE,ADANIENPP.E1
NSE,ADANIENSOL
NSE,ADANIENT
NSE,ADANIGREEN
NSE,ADANIPORTS
NSE,ADANIPOWER
BSE,ADARSHPL
BSE,ADCINDIA
BSE,ADCON
BSE,ADCOUNTY
NSE,ADDICTIVE
BSE,ADDIND
BSE,ADESHWAR
NSE,ADFFOODS
BSE,ADHBHUTIN
BSE,ADINATH
BSE,ADITYA
BSE,ADITYASP
BSE,ADJIA
NSE,ADL
BSE,ADLINE
BSE,ADMANUM
NSE,ADOR
NSE,ADROITINFO
NSE,ADSL
BSE,ADTECH
BSE,ADVAIT
NSE,ADVANCE
NSE,ADVANIHOTR
NSE,ADVENTHTL
NSE,ADVENZYMES
BSE,ADVIKCA
BSE,ADVIKLA
BSE,ADVLIFE
BSE,ADVPETR_B
NSE,AEGISLOG
NSE,AEGISVOPAK
BSE,AEIM
BSE,AEL
BSE,AEONXDIGI
BSE,AEPL
NSE,AEQUS
NSE,AEROENTER
NSE,AEROFLEX
NSE,AERON
NSE,AERONEU
BSE,AERPACE
NSE,AESTHETIK
NSE,AETHER
BSE,AFCOM
NSE,AFCONS
BSE,AFEL
NSE,AFFLE
NSE,AFFORDABLE
NSE,AFIL
NSE,AFSL
NSE,AGARIND
BSE,AGARWAL
NSE,AGARWALEYE
NSE,AGARWALFT
NSE,AGARWALTUF
NSE,AGI
NSE,AGIIL
BSE,AGIOPAPER
NSE,AGNI
BSE,AGOL
BSE,AGRIBIO
NSE,AGRITECH
NSE,AGROPHOS
NSE,AGSTRA
NSE,AGUL
BSE,AGVENTURES
BSE,AHASOLAR
NSE,AHCL
NSE,AHIMSA
NSE,AHLADA
NSE,AHLEAST
NSE,AHLUCONT
BSE,AHMDSTE
NSE,AIAENG
BSE,AICHAMP
BSE,AIHL
NSE,AIIL
BSE,AIKPIPES
NSE,AILIMITED
BSE,AIMCOPEST
BSE,AIML
NSE,AIMTRON
NSE,AIRAN
BSE,AIRFLOA
BSE,AIRLTD
NSE,AIROLAM
NSE,AISL
NSE,AJANTPHARM
BSE,AJANTSOY
NSE,AJAXENGG
BSE,AJCJEWEL
BSE,AJCON
NSE,AJMERA
NSE,AJOONI
BSE,AJWAFUN
NSE,AKANKSHA
NSE,AKASH
BSE,AKCAPIT
NSE,AKG
NSE,AKI
NSE,AKIKO
NSE,AKSHAR
NSE,AKSHARCHEM
NSE,AKSHOPTFBR
NSE,AKUMS
NSE,AKZOINDIA
NSE,ALANKIT
BSE,ALANSCOTT
NSE,ALBERTDAVD
BSE,ALCHCORP
NSE,ALCODIS
NSE,ALEMBICLTD
BSE,ALEXANDER
BSE,ALFAICA
BSE,ALFATRAN
BSE,ALFAVIO
BSE,ALFL
BSE,ALFREDHE
BSE,ALGOQUANT
NSE,ALICON
NSE,ALIVUS
NSE,ALKALI
NSE,ALKEM
BSE,ALKOSIGN
NSE,ALKYLAMINE
NSE,ALLCARGO
NSE,ALLDIGI
NSE,ALLETEC
NSE,ALLTIME
NSE,ALMONDZ
NSE,ALOKINDS
NSE,ALPA
NSE,ALPEXSOLAR
NSE,ALPHAGEO
BSE,ALPHAIND
