exchange,symbol
TSE,1301
TSE,130A
TSE,1332
TSE,1333
TSE,135A
TSE,1375
TSE,1376
TSE,1377
TSE,1379
TSE,137A
TSE,1380
TSE,1381
TSE,1382
TSE,1383
TSE,1384
TSE,138A
TSE,1401
TSE,1407
TSE,1414
TSE,1417
TSE,1418
TSE,1419
TSE,141A
TSE,1420
TSE,1429
TSE,142A
TSE,1430
TSE,1431
TSE,1433
TSE,1434
TSE,1435
TSE,1436
TSE,1438
TSE,143A
TSE,1443
TSE,1444
TSE,1446
TSE,1447
SAPSE,1449
TSE,1450
TSE,145A
TSE,146A
TSE,147A
TSE,148A
TSE,1491
TSE,149A
TSE,150A
TSE,1514
TSE,1515
TSE,1518
TSE,151A
TSE,153A
TSE,155A
TSE,156A
TSE,157A
TSE,1605
TSE,160A
TSE,1662
TSE,1663
TSE,166A
TSE,167A
TSE,168A
TSE,1711
TSE,1716
TSE,1717
TSE,1718
TSE,1719
TSE,1720
TSE,1721
TSE,1723
TSE,1724
TSE,1726
TSE,1736
NAG,1738
TSE,173A
TSE,1758
TSE,175A
TSE,1762
TSE,1764
TSE,1766
TSE,1768
TSE,176A
TSE,1770
FSE,1771
TSE,1776
NAG,1777
TSE,177A
TSE,1780
TSE,1783
TSE,1786
TSE,1787
TSE,1788
TSE,1793
TSE,1795
TSE,1798
TSE,1799
TSE,1801
TSE,1802
TSE,1803
TSE,1807
TSE,1808
TSE,1810
TSE,1811
TSE,1812
TSE,1813
TSE,1814
TSE,1815
TSE,1820
TSE,1822
TSE,1826
TSE,1827
TSE,1828
SAPSE,1832
TSE,1833
TSE,1835
TSE,1840
TSE,1841
TSE,1844
TSE,1847
TSE,1848
TSE,184A
TSE,1850
TSE,1852
TSE,1853
TSE,1860
TSE,1861
TSE,1866
TSE,1867
NAG,1869
TSE,186A
TSE,1870
TSE,1871
TSE,1873
TSE,1878
TSE,1879
TSE,1882
TSE,1885
TSE,1887
TSE,1888
NAG,1892
TSE,1893
TSE,1897
TSE,1898
TSE,1899
TSE,189A
TSE,1904
TSE,1905
TSE,1909
TSE,190A
TSE,1911
TSE,1914
TSE,1921
TSE,1925
TSE,1926
TSE,1928
TSE,1929
TSE,192A
TSE,1930
TSE,1934
TSE,1938
TSE,1939
TSE,1941
TSE,1942
TSE,1944
TSE,1945
TSE,1946
TSE,1948
TSE,1949
TSE,194A
TSE,1950
TSE,1951
TSE,1952
TSE,1959
TSE,195A
TSE,1960
TSE,1961
TSE,1963
TSE,1964
TSE,1965
TSE,1966
TSE,1967
TSE,1968
TSE,1969
TSE,196A
TSE,1972
TSE,1975
TSE,1976
TSE,1979
TSE,197A
TSE,1980
TSE,1981
TSE,1982
TSE,198A
TSE,1992
TSE,1994
TSE,1997
FSE,1999
TSE,2001
TSE,2002
TSE,2003
TSE,2004
TSE,2009
TSE,202A
TSE,2053
TSE,2055
FSE,2058
TSE,205A
TSE,2060
TSE,206A
TSE,208A
TSE,2108
TSE,2109
TSE,2112
TSE,2114
TSE,2117
TSE,211A
TSE,2120
TSE,2121
TSE,2122
TSE,2124
TSE,2127
TSE,212A
