exchange,symbol
KRX,000020
KRX,000040
KRX,000050
KRX,000070
KRX,000080
KRX,000100
KRX,000120
KRX,000140
KRX,000150
KRX,000180
KRX,000210
KRX,000220
KRX,000230
KRX,000240
KRX,000250
KRX,000270
KRX,000320
KRX,000370
KRX,000390
KRX,000400
KRX,000430
KRX,000440
KRX,000480
KRX,000490
KRX,0004Y0
KRX,000500
KRX,000520
KRX,000540
KRX,000590
KRX,000640
KRX,000650
KRX,000660
KRX,000670
KRX,000680
KRX,000700
KRX,000720
KRX,000760
KRX,0007C0
KRX,000810
KRX,000850
KRX,000860
KRX,000880
KRX,000890
KRX,0008Z0
KRX,000910
KRX,000950
KRX,000970
KRX,000990
KRX,0009K0
KRX,001000
KRX,001020
KRX,001040
KRX,001060
KRX,001070
KRX,001080
KRX,0010V0
KRX,001120
KRX,001130
KRX,001200
KRX,001210
KRX,001230
KRX,001250
KRX,001260
KRX,001270
KRX,001290
KRX,001340
KRX,001360
KRX,001380
KRX,001390
KRX,0013V0
KRX,001420
KRX,001430
KRX,001440
KRX,001450
KRX,001460
KRX,001500
KRX,001510
KRX,001520
KRX,001530
KRX,001540
KRX,001550
KRX,001560
KRX,0015G0
KRX,0015N0
KRX,0015S0
KRX,001620
KRX,001630
KRX,001680
KRX,001720
KRX,001740
KRX,001750
KRX,001770
KRX,001780
KRX,001790
KRX,001800
KRX,001810
KRX,001820
KRX,001940
KRX,002020
KRX,002030
KRX,002070
KRX,002100
KRX,002140
KRX,002150
KRX,002170
KRX,002200
KRX,002220
KRX,002230
KRX,002240
KRX,002290
KRX,002310
KRX,002320
KRX,002350
KRX,002360
KRX,002380
KRX,002390
KRX,002420
KRX,002450
KRX,002460
KRX,002600
KRX,002620
KRX,002630
KRX,002680
KRX,002690
KRX,002700
KRX,002710
KRX,002720
KRX,002760
KRX,002780
KRX,002790
KRX,002800
KRX,002810
KRX,002820
KRX,002840
KRX,002870
KRX,002880
KRX,002900
KRX,002920
KRX,002960
KRX,002990
KRX,003000
KRX,003010
KRX,003030
KRX,003060
KRX,003070
KRX,003080
KRX,003090
KRX,003100
KRX,003120
KRX,003160
KRX,003200
KRX,003220
KRX,003230
KRX,003240
KRX,003280
KRX,003300
KRX,003310
KRX,003350
KRX,003380
KRX,003460
KRX,003470
KRX,003480
KRX,003490
KRX,003520
