exchange,symbol
NZX,2CC
NZX,AFC
NZX,AFT
NZX,AGL
NZX,AIA
NZX,AIR
NZX,ALF
NZX,AOF
NZX,APL
NZX,ARB
NZX,ARG
NZX,ATM
NZX,BAI
NZX,BFG
NZX,BGP
NZX,BLT
NZX,BPG
NZX,BRW
NZX,CCC
NZX,CDI
NZX,CEN
NZX,CHI
NZX,CMO
NZX,CNU
NZX,CVT
NZX,DGL
NZX,EBO
NZX,ENS
NZX,ERD
NZX,FBU
NZX,FCG
NZX,FPH
NZX,FRW
NZX,FWL
NZX,GEN
NZX,GNE
NZX,GTK
NZX,GXH
NZX,HGH
NZX,HLG
NZX,IFT
NZX,IKE
NZX,IPL
NZX,KMD
NZX,KPG
NZX,LIC
NZX,LOC
NZX,MCK
NZX,MCY
NZX,MEE
NZX,MEL
NZX,MFB
NZX,MFT
NZX,MOV
NZX,MPG
NZX,NPH
NZX,NTL
NZX,NZK
NZX,NZL
NZX,NZM
NZX,NZX
NZX,OCA
NZX,PCT
NZX,PEB
NZX,PFI
NZX,PGW
NZX,PHL
NZX,POT
NZX,PYS
NZX,RAD
NZX,RAK
NZX,RTO
NZX,RUA
NZX,RYM
NZX,SAN
NZX,SCL
NZX,SCT
NZX,SDL
NZX,SEK
NZX,SKC
NZX,SKL
NZX,SKO
NZX,SKT
NZX,SML
NZX,SPG
NZX,SPK
NZX,SPN
NZX,STU
NZX,SUM
NZX,SVR
NZX,TAH
NZX,TGG
NZX,THL
NZX,TRA
NZX,TRU
NZX,TWL
NZX,TWR
NZX,VCT
NZX,VGL
NZX,WCO
NZX,WHS
NZX,WIN
