exchange,symbol
SGX,1A0
SGX,1A1
SGX,1AZ
SGX,1B1
SGX,1B6
SGX,1D0
SGX,1D1
SGX,1D3
SGX,1D4
SGX,1E3
SGX,1F1
SGX,1F2
SGX,1F3
SGX,1H3
SGX,1H8
SGX,1J4
SGX,1J5
SGX,1L2
SGX,1MZ
SGX,1R6
SGX,1U8
SGX,1V3
SGX,1Y1
SGX,40B
SGX,40T
SGX,40V
SGX,40W
SGX,41B
SGX,41F
SGX,41O
SGX,41T
SGX,42C
SGX,42E
SGX,42F
SGX,42L
SGX,42N
SGX,42R
SGX,42T
SGX,42W
SGX,42Z
SGX,43A
SGX,43B
SGX,43E
SGX,43F
SGX,500
SGX,504
SGX,505
SGX,508
SGX,51O
SGX,532
SGX,53W
SGX,540
SGX,541
SGX,543
SGX,544
SGX,546
SGX,554
SGX,558
SGX,564
SGX,566
SGX,569
SGX,570
SGX,579
SGX,581
SGX,583
SGX,584
SGX,585
SGX,594
SGX,595
SGX,596
SGX,5AB
SGX,5AE
SGX,5AI
SGX,5AL
SGX,5AU
SGX,5CF
SGX,5CR
SGX,5CT
SGX,5DD
SGX,5DM
SGX,5DO
SGX,5DP
SGX,5DS
SGX,5DX
SGX,5E2
SGX,5EB
SGX,5EF
SGX,5EG
SGX,5EV
SGX,5EW
SGX,5F4
SGX,5F7
SGX,5FW
SGX,5FX
SGX,5G1
SGX,5G2
SGX,5G9
SGX,5GD
SGX,5GZ
SGX,5HH
SGX,5HV
SGX,5I1
SGX,5IC
SGX,5IF
SGX,5IG
SGX,5JK
SGX,5JS
SGX,5KI
SGX,5LE
SGX,5LY
SGX,5MD
SGX,5ML
SGX,5MZ
SGX,5NF
SGX,5NV
SGX,5OC
SGX,5OI
SGX,5OQ
SGX,5OX
SGX,5PC
SGX,5PF
SGX,5PO
SGX,5QY
SGX,5RC
SGX,5SO
SGX,5SR
SGX,5SY
SGX,5TJ
SGX,5TP
SGX,5TT
SGX,5UA
SGX,5UF
SGX,5UL
SGX,5UX
SGX,5VC
SGX,5VP
SGX,5VS
SGX,5WA
SGX,5WF
SGX,5WH
SGX,5WJ
SGX,5WV
SGX,8A1
SGX,8AZ
SGX,8K7
SGX,8YY
SGX,8YZ
SGX,9CI
SGX,9G2
SGX,9MT
SGX,9QX
SGX,9VW
SGX,A04
SGX,A30
SGX,A31
SGX,A33
SGX,A50
SGX,A52
SGX,A55
SGX,AAJ
SGX,ADN
SGX,AGS
SGX,AIY
SGX,AJ2
SGX,AOF
SGX,AP4
SGX,AVX
SGX,AWC
SGX,AWG
SGX,AWI
SGX,AWK
SGX,AWV
SGX,AWX
SGX,AWZ
SGX,AYN
SGX,AYV
SGX,AZA
SGX,B28
SGX,B49
SGX,B58
SGX,B61
SGX,BAI
SGX,BAZ
SGX,BBP
SGX,BBW
SGX,BCV
SGX,BCY
SGX,BDA
SGX,BDU
SGX,BDX
