exchange,symbol
TWSE,1101
TWSE,1102
TWSE,1103
TWSE,1104
TWSE,1108
TWSE,1109
TWSE,1110
TWSE,1201
TWSE,1203
TWSE,1210
TWSE,1213
TWSE,1215
TWSE,1216
TWSE,1217
TWSE,1218
TWSE,1219
TWSE,1220
TWSE,1225
TWSE,1227
TWSE,1229
TWSE,1231
TWSE,1232
TWSE,1233
TWSE,1234
TWSE,1235
TWSE,1236
TPEX,1240
TWSE,1256
TPEX,1259
TPEX,1260
TPEX,1264
TPEX,1268
TPEX,1269
TPEX,1271
TPEX,1293
TPEX,1294
TPEX,1295
TWSE,1301
TWSE,1303
TWSE,1304
TWSE,1305
TWSE,1307
TWSE,1308
TWSE,1309
TWSE,1310
TWSE,1312
TWSE,1313
TWSE,1314
TWSE,1315
TWSE,1316
TWSE,1319
TWSE,1321
TWSE,1323
TWSE,1324
TWSE,1325
TWSE,1326
TPEX,1336
TWSE,1337
TWSE,1338
TWSE,1339
TWSE,1340
TWSE,1341
TWSE,1342
TPEX,1343
TWSE,1402
TWSE,1409
TWSE,1410
TWSE,1413
TWSE,1414
TWSE,1416
TWSE,1417
TWSE,1418
TWSE,1419
TWSE,1423
TWSE,1432
TWSE,1434
TWSE,1435
TWSE,1436
TWSE,1437
TWSE,1438
TWSE,1439
TWSE,1440
TWSE,1441
TWSE,1442
TWSE,1443
TWSE,1444
TWSE,1445
TWSE,1446
TWSE,1447
TWSE,1449
TWSE,1451
TWSE,1452
TWSE,1453
TWSE,1454
TWSE,1455
TWSE,1456
TWSE,1457
TWSE,1459
TWSE,1460
TWSE,1463
TWSE,1464
TWSE,1465
TWSE,1466
TWSE,1467
TWSE,1468
TWSE,1470
TWSE,1471
TWSE,1472
TWSE,1473
TWSE,1474
TWSE,1475
TWSE,1476
TWSE,1477
TPEX,1480
TWSE,1503
TWSE,1504
TWSE,1506
TWSE,1512
TWSE,1513
TWSE,1514
TWSE,1515
TWSE,1516
TWSE,1517
TWSE,1519
TWSE,1521
TWSE,1522
TWSE,1524
TWSE,1525
TWSE,1526
TWSE,1527
TWSE,1528
TWSE,1529
TWSE,1530
TWSE,1531
TWSE,1532
TWSE,1533
TWSE,1535
TWSE,1536
TWSE,1537
TWSE,1538
TWSE,1539
TWSE,1540
TWSE,1541
TWSE,1558
TWSE,1560
TWSE,1563
TPEX,1565
TWSE,1568
TPEX,1569
TPEX,1570
TPEX,1580
TWSE,1582
TWSE,1583
TPEX,1584
TPEX,1586
TWSE,1587
TWSE,1589
TWSE,1590
TPEX,1591
TPEX,1593
TPEX,1594
TPEX,1595
TWSE,1597
TWSE,1598
TPEX,1599
TWSE,1603
TWSE,1604
TWSE,1605
TWSE,1608
TWSE,1609
TWSE,1611
TWSE,1612
TWSE,1614
TWSE,1615
TWSE,1616
TWSE,1617
TWSE,1618
TPEX,1623
TWSE,1626
TWSE,1702
TWSE,1707
TWSE,1708
TWSE,1709
TWSE,1710
TWSE,1711
TWSE,1712
TWSE,1713
TWSE,1714
TWSE,1717
TWSE,1718
TWSE,1720
TWSE,1721
TWSE,1722
TWSE,1723
TWSE,1725
TWSE,1726
TWSE,1727
TWSE,1730
TWSE,1731
TWSE,1732
TWSE,1733
TWSE,1734
TWSE,1735
TWSE,1736
TWSE,1737
TPEX,1742
TWSE,1752
TWSE,1760
TWSE,1762
TWSE,1773
TWSE,1776
TPEX,1777
TPEX,1780
TPEX,1781
TWSE,1783
TPEX,1784
TPEX,1785
TWSE,1786
TPEX,1788
TWSE,1789
TWSE,1795
TPEX,1796
TPEX,1799
TWSE,1802
TWSE,1805
TWSE,1806
TWSE,1808
TWSE,1809
TWSE,1810
TPEX,1813
TPEX,1815
TWSE,1817
TWSE,1903
TWSE,1904
TWSE,1905
TWSE,1906
TWSE,1907
TWSE,1909
TWSE,2002
TWSE,2006
TWSE,2007
TWSE,2008
TWSE,2009
TWSE,2010
TWSE,2012
TWSE,2013
TWSE,2014
TWSE,2015
TWSE,2017
TWSE,2020
TWSE,2022
TWSE,2023
TWSE,2024
TWSE,2025
TWSE,2027
TWSE,2028
TWSE,2029
TWSE,2030
TWSE,2031
TWSE,2032
TWSE,2033
TWSE,2034
TPEX,2035
TWSE,2038
TWSE,2049
TWSE,2059
TPEX,2061
TWSE,2062
TPEX,2063
TPEX,2064
TPEX,2065
TPEX,2066
TPEX,2067
TWSE,2069
TPEX,2070
TPEX,2071
TPEX,2072
TPEX,2073
TWSE,2101
TWSE,2102
TWSE,2103
TWSE,2104
TWSE,2105
TWSE,2106
TWSE,2107
TWSE,2108
TWSE,2109
TWSE,2114
TWSE,2115
TWSE,2201
TWSE,2204
TWSE,2206
TWSE,2207
TWSE,2208
TWSE,2211
TPEX,2221
TWSE,2227
TWSE,2228
TPEX,2230
TWSE,2231
TWSE,2233
TPEX,2235
TWSE,2236
TPEX,2237
TWSE,2239
TWSE,2241
TWSE,2243
TPEX,2245
TWSE,2247
TWSE,2248
TPEX,2249
TWSE,2250
TPEX,2252
TWSE,2254
TPEX,2255
TPEX,2256
TWSE,2258
TWSE,2301
TWSE,2302
TWSE,2303
TWSE,2305
TWSE,2308
TWSE,2312
TWSE,2313
TWSE,2314
TWSE,2316
TWSE,2317
TWSE,2321
TWSE,2323
TWSE,2324
TWSE,2327
TWSE,2328
TWSE,2329
TWSE,2330
TWSE,2331
TWSE,2332
TWSE,2337
TWSE,2338
TWSE,2340
TWSE,2342
TWSE,2344
TWSE,2345
