exchange,symbol
SIX,ZWM
SIX,ZURN
SIX,ZUGN
SIX,ZUGER
SIX,ZUBN
SIX,ZEHN
SIX,YTME
SIX,YPSN
SIX,XLS
SIX,WKBN
SIX,WIHN
SIX,WARN
SIX,VZUG
SIX,VZN
SIX,VPBN
SIX,VONN
SIX,VLRT
SIX,VILN
SIX,VETN
SIX,VBSN
SIX,VATN
SIX,VARN
SIX,VAHN
SIX,VACN
SIX,UHR
SIX,UBXN
SIX,UBSG
SIX,TXGN
SIX,TKBP
SIX,TIBN
SIX,TEMN
SIX,TECN
SIX,SWTQ
SIX,SWON
SIX,SUNN
SIX,SUN
SIX,STRN
SIX,STMN
SIX,STGN
SIX,SREN
SIX,SRAIL
SIX,SQN
BX,SQL
SIX,SPSN
SIX,SOON
SIX,SNBN
SIX,SMG
SIX,SLHN
SIX,SKAN
SIX,SIKA
SIX,SIGN
SIX,SHLTN
SIX,SGSN
SIX,SGKN
SIX,SFZN
SIX,SFSN
SIX,SFPN
SIX,SENS
BX,SEAN
SIX,SDZ
SIX,SCMN
SIX,SCHN
SIX,SANN
SIX,RSGN
SIX,RO
SIX,RIEN
SIX,REHN
BX,QCAP
SIX,PSPN
BX,PRO
SIX,PPGN
SIX,PMN
SIX,PLAN
SIX,PKTM
SIX,PGHN
SIX,PEDU
SIX,PEAN
BX,PATRI
SIX,ORON
SIX,OFN
SIX,OERL
SIX,NWRN
SIX,NREN
SIX,NOVN
SIX,NESN
SIX,NEAG
SIX,MTG
SIX,MOZN
SIX,MOVE
SIX,MOLN
SIX,MOBN
SIX,MMTX
SIX,MIKN
SIX,METN
SIX,MEDX
SIX,MED
SIX,MCHN
SIX,MBTN
SIX,LUKN
SIX,LONN
SIX,LOGN
SIX,LMN
SIX,LLBN
SIX,LISN
SIX,LEON
SIX,LEHN
SIX,LECN
SIX,LAND
SIX,KURN
SIX,KUD
BX,KSBE
SIX,KOMN
SIX,KNIN
SIX,KLIN
SIX,KARN
SIX,JFN
SIX,ISN
SIX,IREN
SIX,INRN
SIX,IMPN
SIX,IFCN
SIX,IDIA
SIX,HUBN
SIX,HT5
SIX,HOLN
SIX,HLEE
SIX,HIAG
SIX,HBLN
SIX,HBAN
BX,HAUTE
SIX,GURN
SIX,GRKP
SIX,GMI
SIX,GLKBN
SIX,GIVN
SIX,GF
SIX,GEBN
SIX,GAV
SIX,GAM
SIX,GALE
SIX,GALD
SIX,FTON
SIX,FREN
SIX,FORN
SIX,FHZN
SIX,EVE
SIX,ESUN
SIX,EPIC
SIX,EPH.EUR
SIX,EMSN
SIX,EMMN
SIX,ELMN
SIX,EFGN
SIX,DOKA
SIX,DOCM
SIX,DKSH
SIX,DESN
SIX,DAE
SIX,CURN
SIX,CPHN
SIX,COTN
SIX,COPN
SIX,CMBN
SIX,CLTN
SIX,CLN
SIX,CICN
SIX,CHAM
SIX,CFT
SIX,CFR
SIX,CALN
SIX,BYS
SIX,BVZN
SIX,BUCN
SIX,BSLN
SIX,BSKP
SIX,BRKN
SIX,BOSN
SIX,BLKB
SIX,BKW
SIX,BIOV
SIX,BELL
SIX,BEKN
SIX,BEAN
SIX,BCVN
SIX,BCJ
SIX,BCHN
SIX,BCGE
SIX,BBN
SIX,BARN
SIX,BANB
SIX,BAER
SIX,AVOL
SIX,AUTN
SIX,ASWN
SIX,ASCN
SIX,ARYN
SIX,ARBN
SIX,APGN
SIX,AMS
SIX,ALSN
SIX,ALLN
SIX,ALC
SIX,AEVS
SIX,AERO
SIX,ADXN
SIX,ADVN
BX,ADMI
SIX,ADEN
SIX,ACLN
SIX,ABBN
