exchange,symbol
GETTEX,0HC
XETR,123F
XETR,14D
XETR,1INN
XETR,1SXP
XETR,1U1
XETR,27N0
XETR,2GB
XETR,2HRA
XETR,2INV
XETR,3330
XETR,3ITN
FWB,3SQ1
GETTEX,49Q
XETR,4DS
XETR,4X0
GETTEX,64B
XETR,75S
XETR,7V0
XETR,81D
XETR,8TRA
XETR,93M1
XETR,A1OS
XETR,A6T
XETR,A7A
XETR,AAD
XETR,AAG
XETR,AAQ1
XETR,AB9
XETR,ABO
XETR,ABX
XETR,ACT
XETR,ACWN
XETR,ACX
XETR,ADE
XETR,ADJ
XETR,ADN1
XETR,ADS
XETR,ADV
XETR,AEIN
XETR,AFX
XETR,AG1
XETR,AIXA
XETR,AJ91
XETR,ALG
XETR,ALV
XETR,AMA
XETR,AMI
XETR,AMM
XETR,AMV0
XETR,AOF
XETR,APM
XETR,AT1
XETR,AV2
GETTEX,AY3
XETR,B7E
XETR,B8FK
XETR,BAS
XETR,BAYN
XETR,BC8
XETR,BDT
XETR,BEI
XETR,BEZ
XETR,BFSA
XETR,BIG1
XETR,BIJ
XETR,BIKE
XETR,BKHT
XETR,BMW
XETR,BNN
XETR,BNR
MUN,BOG
XETR,BOSS
XETR,BRNK
XETR,BSL
XETR,BST
XETR,BVB
XETR,BWB
XETR,BYW
XETR,C1V0
XETR,C3RY
XETR,CA1
XETR,CBK
XETR,CCAP
MUN,CDZ0
XETR,CEA
XETR,CEC
XETR,CEK
XETR,CFC
XETR,CGX
XETR,CHG
XETR,CLIQ
XETR,COK
XETR,CON
XETR,COR
XETR,CSH
XETR,CWC
FWB,CY1K
XETR,CYR
XETR,D6H
XETR,D77
XETR,DAM
XETR,DAR
XETR,DB1
XETR,DBAN
XETR,DBK
XETR,DEF
XETR,DEQ
XETR,DEX
XETR,DEZ
XETR,DFTK
FWB,DGR
XETR,DHER
XETR,DHL
XETR,DIE
XETR,DLX
XETR,DMP
XETR,DMRE
XETR,DOU
XETR,DR0
XETR,DRW8
XETR,DTD2
XETR,DTE
XETR,DTG
XETR,DUE
XETR,DWNI
XETR,DWS
XETR,E4C
XETR,E8X
XETR,EAD
XETR,EBK
XETR,ECF
XETR,ECK
XETR,ED4
XETR,EDL
XETR,EFF
XETR,EIF
XETR,EKT
XETR,ELB
XETR,ELG
XETR,EMH
XETR,ENR
XETR,EOAN
FWB,ERWE
XETR,ETG
XETR,EUZ
XETR,EVD
XETR,EVK
XETR,EVT
XETR,EXJ0
XETR,EXL
XETR,F3C
DUS,F54
XETR,FAA
XETR,FC9
XETR,FEV
FWB,FF24
XETR,FIE
XETR,FME
XETR,FNTN
XETR,FPE
XETR,FQT
XETR,FRA
XETR,FRE
XETR,FRS
XETR,FTK
XETR,FU0A
XETR,FYB
XETR,G1A
XETR,G24
XETR,G6P0
XETR,GBF
XETR,GFG
XETR,GFT
XETR,GIL
XETR,GLJ
XETR,GME
XETR,GMM
XETR,GSC1
XETR,GTK
XETR,GTY
XETR,GXI
XETR,GYC
XETR,H2A
FWB,H2O
XETR,H68
XETR,H9W
XETR,HAG
XETR,HAW
XETR,HBH
XETR,HDD
XETR,HEI
XETR,HEN
XETR,HFG
XETR,HGEA
XETR,HHFA
XETR,HIGH
XETR,HLAG
XETR,HLE
XETR,HLG
XETR,HMU
XETR,HNL
XETR,HNR1
XETR,HOT
XETR,HP3A
XETR,HPHA
XETR,HRPK
XETR,HTG
XETR,HXCK
XETR,HYQ
XETR,IBU
XETR,IFX
XETR,ILM1
XETR,INH
XETR,INS
XETR,INW
XETR,IOS
XETR,IS7
XETR,ISHA
XETR,ITN
XETR,IUR
XETR,IVU
XETR,IXX
XETR,JDC
XETR,JEN
XETR,JST
XETR,KA1
XETR,KBX
XETR,KCO
XETR,KGX
XETR,KRN
XETR,KSB
XETR,KSC
XETR,KTA
XETR,KTN
XETR,KWG
XETR,KWS
XETR,LEG
XETR,LEI
XETR,LHA
XETR,LIK
XETR,LMIA
XETR,LPK
XETR,LQAG
DUS,LRND
XETR,LSX
XETR,LUS1
XETR,LXS
