exchange,symbol
OMXCOP,AAB
OMXCOP,AGAT
OMXCOP,AGF_B
OMXCOP,AGILC
OMXCOP,ALEFRM
OMXCOP,ALK_B
OMXCOP,ALMB
OMXCOP,ALSYDB
OMXCOP,AMBU_B
OMXCOP,AOJ_B
OMXCOP,AQP
OMXCOP,ASTK
OMXCOP,ATLA_DKK
OMXCOP,BACTIQ
OMXCOP,BAVA
OMXCOP,BETCO_DKK
OMXCOP,BIF
OMXCOP,BIOPOR
OMXCOP,BO
OMXCOP,BRAINP
OMXCOP,CARL_A
OMXCOP,CBRAIN
OMXCOP,CEMAT
OMXCOP,CHEMM
OMXCOP,COLO_B
OMXCOP,COLUM
OMXCOP,CPHCAP_PREF32
OMXCOP,DAB
OMXCOP,DAC
OMXCOP,DANSKE
OMXCOP,DANT
OMXCOP,DATA
OMXCOP,DEMANT
OMXCOP,DFDS
OMXCOP,DJUR
OMXCOP,DNORD
OMXCOP,DONKEY
OMXCOP,DSV
OMXCOP,EGNETY
OMXCOP,EMBLA
OMXCOP,ERRIA
OMXCOP,ESG
OMXCOP,FASTPC
OMXCOP,FED
OMXCOP,FFARMS
OMXCOP,FLS
OMXCOP,FLUG_B
OMXCOP,FOBANK
OMXCOP,FOM
OMXCOP,FYNBK
OMXCOP,GABR
OMXCOP,GERHSP
OMXCOP,GJ
OMXCOP,GMAB
OMXCOP,GN
OMXCOP,GREENM
OMXCOP,GRLA
OMXCOP,GUBRA
OMXCOP,GYLD_A
OMXCOP,HARB_B
OMXCOP,HH
OMXCOP,HLUN_A
OMXCOP,HOVE
OMXCOP,HUSCO
OMXCOP,HVID
OMXCOP,IMPERO
OMXCOP,ISS
OMXCOP,JDAN
OMXCOP,JYSK
OMXCOP,KBHL
OMXCOP,KLEE_B
OMXCOP,KONSOL
OMXCOP,KRE
OMXCOP,LASP
OMXCOP,LEDIBOND
OMXCOP,LOLB
OMXCOP,LUXOR_B
OMXCOP,MAERSK_A
OMXCOP,MATAS
OMXCOP,MDUNDO
OMXCOP,MNBA
OMXCOP,MONSO
OMXCOP,MOVINN
OMXCOP,MTHH
OMXCOP,NETC
OMXCOP,NEWCAP
OMXCOP,NEXCOM
OMXCOP,NKT
OMXCOP,NLFSK
OMXCOP,NNIT
OMXCOP,NORTHM
OMXCOP,NOVO_B
OMXCOP,NSIS_B
OMXCOP,NTG
OMXCOP,NTR_B
OMXCOP,OKEAC
OMXCOP,ORSTED
OMXCOP,PAAL_B
OMXCOP,PARKEN
OMXCOP,PARKST_A
OMXCOP,PEG
OMXCOP,PFINV
OMXCOP,PNDORA
OMXCOP,PRIMOF
OMXCOP,QINTER
OMXCOP,RBLN_B
OMXCOP,RBREW
OMXCOP,RIAS_B
OMXCOP,RILBA
OMXCOP,ROCK_A
OMXCOP,ROV
OMXCOP,RTX
OMXCOP,SCHO
OMXCOP,SHAPE
OMXCOP,SIG
OMXCOP,SKAKO
OMXCOP,SKJE
OMXCOP,SMSMED
OMXCOP,SOLAR_B
OMXCOP,SPG
OMXCOP,SPKSJF
OMXCOP,STENO
OMXCOP,STG
OMXCOP,STRAP
OMXCOP,STRINV
OMXCOP,SWISS
OMXCOP,TCM
OMXCOP,TGAMES
OMXCOP,TIV
OMXCOP,TRIFOR
OMXCOP,TRMD_A
OMXCOP,TRYG
OMXCOP,UIE
OMXCOP,UNLGRP
OMXCOP,VIRO
OMXCOP,VWS
OMXCOP,WIRTEK
OMXCOP,WMA
OMXCOP,ZEAL
