exchange,symbol
OMXHEX,AALLON
OMXHEX,ACG1V
OMXHEX,ADMCM
OMXHEX,ADMIN
OMXHEX,AFAGR
OMXHEX,AIFORIA
OMXHEX,AKTIA
OMXHEX,ALBAV
OMXHEX,ALEX
OMXHEX,ALISA
OMXHEX,ALMA
OMXHEX,ANORA
OMXHEX,APETIT
OMXHEX,ARVOSK
OMXHEX,ASPO
OMXHEX,ASUNTO
OMXHEX,ATRAV
OMXHEX,BEER
OMXHEX,BETOLAR
OMXHEX,BIOBV
OMXHEX,BITTI
OMXHEX,BOREO
OMXHEX,BRETEC
OMXHEX,CANATU
OMXHEX,CAPMAN
OMXHEX,CITYVA
OMXHEX,CONSTI
OMXHEX,CTH1V
OMXHEX,CTY1S
OMXHEX,DETEC
OMXHEX,DIGIA
OMXHEX,DIGIGR
OMXHEX,DOV1V
OMXHEX,DUELL
OMXHEX,DWF
OMXHEX,EAGLE
OMXHEX,ECOUP
OMXHEX,EEZY
OMXHEX,ELEAV
OMXHEX,ELISA
OMXHEX,ENENTO
OMXHEX,EQV1V
OMXHEX,ESENSE
OMXHEX,ETTE
OMXHEX,EVLI
OMXHEX,EXL1V
OMXHEX,FIA1S
OMXHEX,FOAMIT
OMXHEX,FODELIA
OMXHEX,FONDIA
OMXHEX,FORTUM
OMXHEX,FRAMERY
OMXHEX,FSECURE
OMXHEX,FSKRS
OMXHEX,GLA1V
OMXHEX,GOFORE
OMXHEX,GRK
OMXHEX,HARVIA
OMXHEX,HEALTH
OMXHEX,HIAB
OMXHEX,HKFOODS
OMXHEX,HONBS
OMXHEX,HRTIS
OMXHEX,HUH1V
OMXHEX,ICP1V
OMXHEX,ILKKA1
OMXHEX,INDERES
OMXHEX,INVEST
OMXHEX,KALMAR
OMXHEX,KAMUX
OMXHEX,KCR
OMXHEX,KELAS
OMXHEX,KEMIRA
OMXHEX,KEMPOWR
OMXHEX,KESKOA
OMXHEX,KHG
OMXHEX,KNEBV
OMXHEX,KOJAMO
OMXHEX,KOSKI
OMXHEX,KREATE
OMXHEX,KSL
OMXHEX,LAMOR
OMXHEX,LAPWALL
OMXHEX,LASTIK
OMXHEX,LEADD
OMXHEX,LEMON
OMXHEX,LINDEX
OMXHEX,LOIHDE
OMXHEX,LUOTEA
OMXHEX,MANTA
OMXHEX,MARAS
OMXHEX,MEKKO
OMXHEX,MERUS
OMXHEX,METSA
OMXHEX,METSO
OMXHEX,MODU
OMXHEX,MUSTI
OMXHEX,NANOFH
OMXHEX,NDA_FI
OMXHEX,NESTE
OMXHEX,NETUM
OMXHEX,NLG1V
OMXHEX,NOHO
OMXHEX,NOKIA
OMXHEX,NORRH
OMXHEX,NXTMH
OMXHEX,OLVAS
OMXHEX,OMASP
OMXHEX,OPTOMED
OMXHEX,ORIOLA
OMXHEX,ORNAV
OMXHEX,ORTHEX
OMXHEX,OUT1V
OMXHEX,OVARO
OMXHEX,PALLAS
OMXHEX,PAMPALO
OMXHEX,PIHLIS
OMXHEX,PIIPPO
OMXHEX,PNA1V
OMXHEX,PON1V
OMXHEX,POSTI
OMXHEX,PUUILO
OMXHEX,QPR1V
OMXHEX,QTCOM
OMXHEX,RAIKV
OMXHEX,RAP1V
OMXHEX,RAUTE
OMXHEX,REBL
OMXHEX,REG1V
OMXHEX,REKA
OMXHEX,RELAIS
OMXHEX,REMEDY
OMXHEX,ROBIT
OMXHEX,SAGCV
OMXHEX,SAMPO
OMXHEX,SANOMA
OMXHEX,SBI
OMXHEX,SCANFL
OMXHEX,SFOODS
OMXHEX,SIILI
OMXHEX,SITOWS
OMXHEX,SOLTEQ
OMXHEX,SOLWERS
OMXHEX,SPINN
OMXHEX,SPRING
OMXHEX,SRV1V
OMXHEX,SSH1V
OMXHEX,STEAV
OMXHEX,SUMMA
OMXHEX,SUY1V
OMXHEX,TAALA
OMXHEX,TAMTRON
OMXHEX,TEKOVA
OMXHEX,TEM1V
OMXHEX,TIETO
OMXHEX,TITAN
OMXHEX,TLT1V
OMXHEX,TNOM
OMXHEX,TOIVO
OMXHEX,TOKMAN
OMXHEX,TRH1V
OMXHEX,TTALO
OMXHEX,TULAV
OMXHEX,TYRES
OMXHEX,UNITED
OMXHEX,UPM
OMXHEX,VAIAS
OMXHEX,VALMT
OMXHEX,VERK
OMXHEX,VIAFIN
OMXHEX,VIK1V
OMXHEX,VINCIT
OMXHEX,WETTERI
OMXHEX,WITH
OMXHEX,WITTED
OMXHEX,WRT1V
OMXHEX,WUF1V
OMXHEX,YIT
