exchange,symbol
BET,ZWACK
BET,WABERERS
BET,VVT
BET,VERTI
BET,UBM
BET,TAKAREKJZB
BET,STRT
BET,SPPC
BET,RICHTER
BET,RABA
BET,POLYDUCT
BET,PENSUM
BET,PANNERGY
BET,OTP
BET,ORMESTER
BET,OPUS
BET,O3PNR
BET,NUTEX
BET,NORD
BET,NAVIG
BET,NATUR
BET,NAP
BET,MULTI
BET,MTELEKOM
BET,MOL
BET,MKBBANK
BET,MEGAKRAN
BET,MASTERPLAST
BET,KERMN
BET,GWPH
BET,GSPARK
BET,GRNT
BET,GLOSTER
BET,FUTURAQUA
BET,ESENT
BET,EPROLIUSIA
BET,EPDUF
BET,ENEFI
BET,DUNAHOUSE
BET,DMKER
BET,DELTA
BET,CIVTA
BET,CIGPANNONIA
BET,CHOME
BET,BIF
BET,BET
BET,AUTOWALLIS
BET,ASTRA
BET,APPENINN
BET,ANY
BET,AMIXA
BET,ALTEO
BET,AKKO
BET,4IG
