exchange,symbol
EURONEXT,YOUNI
EURONEXT,WKL
EURONEXT,WHA
EURONEXT,VVY
EURONEXT,VTA
EURONEXT,VPK
EURONEXT,VALUE
EURONEXT,UMG
EURONEXT,TOM2
EURONEXT,THEON
EURONEXT,TFG
EURONEXT,SLIGR
EURONEXT,SIFG
EURONEXT,SBMO
EURONEXT,RAND
EURONEXT,PRX
EURONEXT,PORF
EURONEXT,PNL
EURONEXT,PHIA
EURONEXT,PHARM
EURONEXT,PBH
EURONEXT,OCI
EURONEXT,NXFIL
EURONEXT,NSI
EURONEXT,NSE
EURONEXT,NN
EURONEXT,NEDSE
EURONEXT,NEDAP
EURONEXT,NAI
EURONEXT,MTRK
EURONEXT,MT
EURONEXT,MORE
EURONEXT,MICC
EURONEXT,LVIDE
EURONEXT,LIGHT
EURONEXT,KPN
EURONEXT,KENDR
EURONEXT,JDEP
EURONEXT,INPST
EURONEXT,INGA
EURONEXT,IMCD
EURONEXT,HYDRA
EURONEXT,HWK
EURONEXT,HOLCO
EURONEXT,HEIO
EURONEXT,HEIJM
EURONEXT,HEIA
EURONEXT,HAVAS
EURONEXT,HAL
EURONEXT,GLPG
EURONEXT,FUR
EURONEXT,FLOW
EURONEXT,FFARM
EURONEXT,FERGR
EURONEXT,EXO
EURONEXT,ERC
EURONEXT,ENVI
EURONEXT,ECMPA
EURONEXT,EBUS
EURONEXT,EAS2P
EURONEXT,EARTH
EURONEXT,DSFIR
EURONEXT,CVC
EURONEXT,CTPNV
EURONEXT,CTAC
EURONEXT,CRBN
EURONEXT,CMCOM
EURONEXT,CABKA
EURONEXT,BRNL
EURONEXT,BNJ
EURONEXT,BFIT
EURONEXT,BEVER
EURONEXT,BESI
EURONEXT,BAMNB
EURONEXT,AZRN
EURONEXT,AVTX
EURONEXT,ASRNL
EURONEXT,ASML
EURONEXT,ASM
EURONEXT,ARCAD
EURONEXT,APAM
EURONEXT,AMUND
EURONEXT,AMG
EURONEXT,ALX
EURONEXT,ALLFG
EURONEXT,ALFEN
EURONEXT,AKZA
EURONEXT,AJAX
EURONEXT,AGN
EURONEXT,AGIL
EURONEXT,ADYEN
EURONEXT,AD
EURONEXT,ACOMO
EURONEXT,AALB
