exchange,symbol
OMXSTO,2CUREX
OMXSTO,4C
OMXSTO,AAC
OMXSTO,AAK
NGM,ABAS
NGM,ABERA
NGM,ABI
NGM,ABIG
NGM,ABSL.B
OMXSTO,ABSO
OMXSTO,ACAD
OMXSTO,ACARIX
OMXSTO,ACAST
OMXSTO,ACCON
OMXSTO,ACE
OMXSTO,ACOU
OMXSTO,ACRI_A
OMXSTO,ACROUD
OMXSTO,ACTI
NGM,ACUC
OMXSTO,ACUVI
OMXSTO,ADDT_B
OMXSTO,ADDV_A
OMXSTO,ADTR
OMXSTO,ADVE
NGM,ADVT
OMXSTO,AERO
NGM,AERW.B
NGM,AFRI
OMXSTO,AFRY
OMXSTO,AGES_B
OMXSTO,AGROUP
OMXSTO,AGTIRA_B
NGM,AIK.B
NGM,AIKE.B
OMXSTO,AINO
NGM,AIXIA.B
OMXSTO,AJA_B
OMXSTO,ALBERT
OMXSTO,ALCA
OMXSTO,ALFA
OMXSTO,ALIF_B
OMXSTO,ALIG
OMXSTO,ALLEI
OMXSTO,ALLIGO_B
OMXSTO,ALM
NGM,ALONNR.B
OMXSTO,ALPCOT_B
OMXSTO,ALZ
OMXSTO,ALZCUR
NGM,AMARON.CF.B
OMXSTO,AMBEA
NGM,AMH2.B
NGM,AMIDO
NGM,AMNO
NGM,ANGL
OMXSTO,ANNE_B
OMXSTO,ANNX
OMXSTO,ANOD_B
OMXSTO,ANOT
OMXSTO,APOTEA
NGM,APTA
OMXSTO,AQ
NGM,AQUAT
NGM,ARBO.A
OMXSTO,ARCOMA
OMXSTO,ARCT
OMXSTO,ARCTIC
OMXSTO,ARFA
NGM,ARGO
OMXSTO,ARISE
OMXSTO,ARJO_B
OMXSTO,ARPL
OMXSTO,ASKER
OMXSTO,ASMDEE_B
OMXSTO,ASSA_B
NGM,ASTOR
NGM,ATANA
OMXSTO,ATCO_A
OMXSTO,ATIC
OMXSTO,ATORX
OMXSTO,ATRLJ_B
OMXSTO,ATT
OMXSTO,AVEN
NGM,AVSALT
OMXSTO,AVT_B
OMXSTO,AXFO
OMXSTO,AXIC_A
OMXSTO,AXOLOT
OMXSTO,AZA
OMXSTO,B3
OMXSTO,BACTI_B
OMXSTO,BAHN_B
OMXSTO,BALCO
OMXSTO,BALD_B
NGM,BAT
OMXSTO,BAWAT
OMXSTO,BBROOM
OMXSTO,BEAMMW_B
OMXSTO,BEGR
OMXSTO,BEIA_B
OMXSTO,BEIJ_B
OMXSTO,BERG_B
OMXSTO,BERNER_B
OMXSTO,BESQAB
NGM,BESS
OMXSTO,BETS_B
NGM,BEYOND
OMXSTO,BHG
NGM,BIBB
OMXSTO,BICO
OMXSTO,BILI_A
OMXSTO,BILL
OMXSTO,BIM
OMXSTO,BINERO
OMXSTO,BINV
OMXSTO,BIOA_B
OMXSTO,BIOEX
NGM,BIOF
OMXSTO,BIOG_B
OMXSTO,BIOSGN
OMXSTO,BIOVIC_B
NGM,BIOWKS
NGM,BLICK
NGM,BLUE
OMXSTO,BMAX
OMXSTO,BMC
OMXSTO,BOAT
OMXSTO,BOHO
OMXSTO,BOKUS
OMXSTO,BOL
OMXSTO,BOMILL
OMXSTO,BONAS
OMXSTO,BONAV_A
OMXSTO,BONEX
OMXSTO,BONG
OMXSTO,BOOZT
OMXSTO,BORG
OMXSTO,BOTX
OMXSTO,BOUL
NGM,BPCINS
OMXSTO,BRAIN
OMXSTO,BRAV
OMXSTO,BRAVE
OMXSTO,BRE2
OMXSTO,BRIGHT
OMXSTO,BRILL
OMXSTO,BRIN_B
NGM,BRIX
NGM,BTC.B
NGM,BTCX
OMXSTO,BTS_B
NGM,BUDDY.B
OMXSTO,BUFAB
OMXSTO,BULTEN
OMXSTO,BURE
OMXSTO,BUSER
OMXSTO,BUY
OMXSTO,BYGGP
NGM,C100
OMXSTO,CAG
OMXSTO,CALVIK
NGM,CAM.B
OMXSTO,CAMX
OMXSTO,CANDLE_B
OMXSTO,CANTA
NGM,CAPS
OMXSTO,CARA
NGM,CARDEO
OMXSTO,CARE
OMXSTO,CASE
OMXSTO,CAST
OMXSTO,CATE
OMXSTO,CAT_A
OMXSTO,CCC
OMXSTO,CDMIL
OMXSTO,CDON
OMXSTO,CEDER
NGM,CESSA
OMXSTO,CEVI
OMXSTO,CFISH
OMXSTO,CHARGE
OMXSTO,CHECK
OMXSTO,CHEF
NGM,CHOSA
OMXSTO,CI
OMXSTO,CIBUS
OMXSTO,CINIS
OMXSTO,CINPHA
OMXSTO,CINT
OMXSTO,CIRCHE
OMXSTO,CLAS_B
OMXSTO,CLAV
OMXSTO,CLA_B
OMXSTO,CLBIO
OMXSTO,CLEM
OMXSTO,CLEMO
OMXSTO,CLIME_B
OMXSTO,CLS_B
OMXSTO,CMH
OMXSTO,CMOTEC_B
OMXSTO,CNCJO_B
NGM,COEGIN
OMXSTO,COFFEE_B
OMXSTO,COLLAX
NGM,COMINT
OMXSTO,COMPDM
OMXSTO,COOR
OMXSTO,CORE_A
NGM,CPE.I
OMXSTO,CRAD_B
OMXSTO,CRED_A
NGM,CRET
OMXSTO,CRNO_B
NGM,CRWN
OMXSTO,CS
OMXSTO,CTEK
OMXSTO,CTM
OMXSTO,CTT
NGM,CURAS
OMXSTO,CX
OMXSTO,CYB1
NGM,CYCLE
NGM,DANCAN
NGM,DBP.B
OMXSTO,DEDI
OMXSTO,DEVP_B
NGM,DEX
NGM,DIAH
OMXSTO,DICOT
OMXSTO,DIOS
OMXSTO,DIST
NGM,DIV.B
OMXSTO,DIVIO_B
OMXSTO,DLAB
OMXSTO,DMYD_B
OMXSTO,DOM
OMXSTO,DONE
OMXSTO,DOXA
OMXSTO,DRIL
OMXSTO,DSNO
OMXSTO,DUNI
OMXSTO,DURC_B
OMXSTO,DUST
OMXSTO,DVYSR
OMXSTO,DYVOX
OMXSTO,EAST
NGM,EASY.B
NGM,EATG
NGM,ECC.B
NGM,ECO.B
NGM,ECOMB
NGM,EDYOU
OMXSTO,EFFH
OMXSTO,EG7
OMXSTO,EGTX
OMXSTO,EKTA_B
OMXSTO,ELAN_B
OMXSTO,ELIC
OMXSTO,ELON
OMXSTO,ELTEL
OMXSTO,ELUX_A
OMXSTO,EMB
OMXSTO,EMBELL
OMXSTO,EMBRAC_B
OMXSTO,EMIL_B
OMXSTO,ENEA
OMXSTO,ENERS
OMXSTO,ENGCON_B
OMXSTO,ENITY
NGM,ENRAD
OMXSTO,ENRO
OMXSTO,ENVAR
NGM,ENVI.B
OMXSTO,ENZY
OMXSTO,EOLU_B
OMXSTO,EPEN
OMXSTO,EPIS_B
OMXSTO,EPI_A
OMXSTO,EPRO_B
OMXSTO,EQL
OMXSTO,EQT
OMXSTO,ERIC_A
OMXSTO,ERMA
OMXSTO,ESGR_B
OMXSTO,ESSITY_A
OMXSTO,EVO
OMXSTO,EWRK
NGM,EXALT
OMXSTO,EXPRS2
OMXSTO,EXS
NGM,EYEW
NGM,F2M
OMXSTO,FABG
NGM,FABLE
OMXSTO,FAG
OMXSTO,FASTAT
OMXSTO,FERRO
OMXSTO,FG
NGM,FINE
OMXSTO,FING_B
OMXSTO,FIRE
OMXSTO,FIRST_B
OMXSTO,FLAT_B
OMXSTO,FLERIE
OMXSTO,FLEXM
OMXSTO,FLEXQ
NGM,FLMNG
OMXSTO,FLOWS
OMXSTO,FLUI
OMXSTO,FLUO
OMXSTO,FMM_B
OMXSTO,FNM
OMXSTO,FNOVA_B
OMXSTO,FOI_B
OMXSTO,FPAR_A
OMXSTO,FPIP
OMXSTO,FRACTL
OMXSTO,FRAG
OMXSTO,FRAM_B
OMXSTO,FREEM
NGM,FREETR
OMXSTO,FREJA
NGM,FRILAN
NGM,FRNT.B
NGM,FRWA.B
OMXSTO,FSPORT
NGM,FXI
OMXSTO,G2M
OMXSTO,G5EN
OMXSTO,GABA
NGM,GAD
OMXSTO,GAPW_B
OMXSTO,GARO
NGM,GARPCO.B
NGM,GATE
OMXSTO,GBK
OMXSTO,GCOR
OMXSTO,GENI
OMXSTO,GENO
OMXSTO,GETI_B
OMXSTO,GGEO
OMXSTO,GIGA
NGM,GJAB
NGM,GMERC.B
NGM,GOMERO
OMXSTO,GOMX
NGM,GOSOL
OMXSTO,GOTL_A
OMXSTO,GPG
OMXSTO,GPX
OMXSTO,GRANGX
OMXSTO,GREAT
OMXSTO,GREEN
OMXSTO,GRNG
NGM,GTAB.B
NGM,GTG
OMXSTO,GUARD
OMXSTO,GULD
NGM,H100
OMXSTO,HACK
OMXSTO,HAKI_A
NGM,HAMLET.B
OMXSTO,HANZA
OMXSTO,HAV_B
OMXSTO,HAYPP
OMXSTO,HEART
OMXSTO,HEBA_B
OMXSTO,HEGR
OMXSTO,HELIO
OMXSTO,HEM
OMXSTO,HERNO_B
OMXSTO,HEXA_B
OMXSTO,HEXI
NGM,HFRTO.B
OMXSTO,HIGHCO_B
OMXSTO,HILB_B
NGM,HMPLY
OMXSTO,HMS
OMXSTO,HM_B
OMXSTO,HNSA
OMXSTO,HOFI
NGM,HOLDFL
OMXSTO,HOLM_A
NGM,HOME.B
NGM,HOODIN
OMXSTO,HOTEL
OMXSTO,HPOL_B
OMXSTO,HTRO
OMXSTO,HUFV_A
OMXSTO,HULT_B
OMXSTO,HUM
OMXSTO,HUMBLE
NGM,HUNTER
OMXSTO,HUSQ_A
NGM,HYCO
OMXSTO,IBT_B
OMXSTO,ICO
OMXSTO,IDLDX
OMXSTO,IDUN_B
NGM,IMHO.B
OMXSTO,IMMNOV
OMXSTO,IMMU
OMXSTO,IMPC
NGM,IMS
OMXSTO,INCOAX
OMXSTO,INDT
OMXSTO,INDU_A
NGM,INFRA
OMXSTO,INFREA
OMXSTO,INISS_B
OMXSTO,INIT
OMXSTO,INSP
OMXSTO,INSTAL
OMXSTO,INTEA_B
OMXSTO,INTEG_B
OMXSTO,INTRUM
OMXSTO,INVE_A
OMXSTO,INWI
OMXSTO,IPCO
OMXSTO,IRIS
OMXSTO,IRLAB_A
OMXSTO,IS
NGM,ISAB
OMXSTO,ISOFOL
OMXSTO,ITAB
OMXSTO,ITECH
OMXSTO,IVACC
OMXSTO,IVSO
OMXSTO,IZAFE_B
NGM,JDT
OMXSTO,JLT
OMXSTO,JM
OMXSTO,JOMA
OMXSTO,K2A_B
OMXSTO,K33
OMXSTO,KABE_B
OMXSTO,KAKEL
OMXSTO,KAMBI
OMXSTO,KAPIAB
OMXSTO,KAR
OMXSTO,KARNEL_B
NGM,KAV
OMXSTO,KBC
OMXSTO,KDEV
OMXSTO,KEBNI_B
OMXSTO,KENH
OMXSTO,KFAST_B
OMXSTO,KINV_A
OMXSTO,KJELL
OMXSTO,KLAR
OMXSTO,KLARA_B
OMXSTO,KLIMAT
OMXSTO,KNOW
NGM,KOBR.B
NGM,KONT
NGM,KRONA
NGM,KVIX
OMXSTO,LAGR_B
NGM,LAIR
OMXSTO,LAMM_B
OMXSTO,LARK
NGM,LATF.B
OMXSTO,LATO_B
OMXSTO,LCLEAN
OMXSTO,LEA
NGM,LEVBIO
OMXSTO,LEVEL
NGM,LGOLD.B
OMXSTO,LIAB
OMXSTO,LIDDS
OMXSTO,LIFCO_B
NGM,LIGR
OMXSTO,LIME
OMXSTO,LINC
NGM,LINKAB
OMXSTO,LIPUM
OMXSTO,LITI
OMXSTO,LNFI
NGM,LOGIST.A
OMXSTO,LOGI_A
NGM,LOHILO
OMXSTO,LOOMIS
NGM,LOVE.B
NGM,LOVI
OMXSTO,LOYAL
OMXSTO,LPGO
OMXSTO,LUMEN
NGM,LUMITO
OMXSTO,LUND_B
OMXSTO,LXB
OMXSTO,LYGRD
OMXSTO,LYKO_A
OMXSTO,MAGI
OMXSTO,MAGLE
OMXSTO,MAHA_A
NGM,MAHVIE
OMXSTO,MANG
OMXSTO,MANTEX
OMXSTO,MASHUP
OMXSTO,MAV
OMXSTO,MAVEN
OMXSTO,MAXENT_B
NGM,MBBAB
OMXSTO,MCAP
NGM,MCLR
OMXSTO,MCOV_B
OMXSTO,MEAB_B
OMXSTO,MEDS
NGM,MEGR
OMXSTO,MEKO
NGM,MENDO
OMXSTO,META
OMXSTO,MIDS
OMXSTO,MILDEF
OMXSTO,MINEST
OMXSTO,MIPS
OMXSTO,MMGR_B
NGM,MNDRK
OMXSTO,MNTC
OMXSTO,MOB
OMXSTO,MOBA
OMXSTO,MODEL
OMXSTO,MODTX
NGM,MOFAST
OMXSTO,MOMENT
NGM,MONI
NGM,MPOS
NGM,MRSELL
OMXSTO,MSAB_B
OMXSTO,MSON_A
OMXSTO,MTG_A
OMXSTO,MTI
OMXSTO,MTRS
OMXSTO,MVIR
NGM,MYBEAT
OMXSTO,MYCR
OMXSTO,NANECH
OMXSTO,NANEXA
OMXSTO,NANOC_B
NGM,NATTA
OMXSTO,NAVIGO_STAM
OMXSTO,NAXS
OMXSTO,NCAB
OMXSTO,NCC_A
OMXSTO,NELLY
OMXSTO,NEOBO
OMXSTO,NEOLA
OMXSTO,NEO_B
OMXSTO,NEPA
OMXSTO,NETEL
OMXSTO,NETI_B
OMXSTO,NEWA_B
OMXSTO,NEWBRY
OMXSTO,NEXAM
OMXSTO,NFGAB
NGM,NFO
NGM,NGS
OMXSTO,NIBE_B
OMXSTO,NICA
OMXSTO,NICO
NGM,NIDHOG
NGM,NILS
OMXSTO,NIL_B
OMXSTO,NIO
OMXSTO,NITRO
NGM,NIUTEC
OMXSTO,NIVI_B
NGM,NJOB.B
OMXSTO,NMAN
OMXSTO,NNH
OMXSTO,NOBA
OMXSTO,NOBI
NGM,NODE
OMXSTO,NOLA_B
OMXSTO,NORB_B
NGM,NORDEN
NGM,NORDIG
OMXSTO,NORION
OMXSTO,NOSA
NGM,NOSIUM.B
OMXSTO,NOTE
OMXSTO,NOTEK
OMXSTO,NOVKAN
NGM,NOVU
NGM,NOWO
OMXSTO,NP3
OMXSTO,NREST
OMXSTO,NTEK_B
NGM,NXAR
OMXSTO,NXTCL
OMXSTO,NYAB
OMXSTO,NYF
OMXSTO,OBAB
NGM,OBDU.B
OMXSTO,OBSE
NGM,ODI
NGM,ODIN
OMXSTO,OEM_B
OMXSTO,OGUN_B
OMXSTO,ONCO
OMXSTO,ONCOZ
OMXSTO,ONEF
OMXSTO,OODA
NGM,OPSYH
OMXSTO,OPTER
OMXSTO,OPTI
OMXSTO,ORES
OMXSTO,ORGC
OMXSTO,ORRON
OMXSTO,ORTIN
OMXSTO,ORTI_A
OMXSTO,ORT_B
OMXSTO,ORX
OMXSTO,OSSD
NGM,OURLIV
OMXSTO,OVZON
OMXSTO,OXE
OMXSTO,PACT
OMXSTO,PADEL
OMXSTO,PAX
OMXSTO,PCELL
OMXSTO,PCOM_B
OMXSTO,PDX
OMXSTO,PEAB_B
OMXSTO,PERP_B
NGM,PEXA.B
NGM,PHAL
NGM,PHI
NGM,PHYR.B
OMXSTO,PIERCE
OMXSTO,PILA
