exchange,symbol
BCBA,YPFD
BCBA,VALO
BCBA,TXAR
BCBA,TRAN
BCBA,TGSU2
BCBA,TGNO4
BCBA,TECO2
BCBA,SUPV
BCBA,SEMI
BCBA,SAMI
BCBA,ROSE
BCBA,RIGO
BCBA,RICH
BCBA,REGE
BCBA,RAGH
BCBA,POLL
BCBA,PAMP
BCBA,OEST
BCBA,MORIX
BCBA,MORI
BCBA,MOLI
BCBA,MOLA
BCBA,MIRG
BCBA,METRC
BCBA,METR
BCBA,LONG
BCBA,LOMA
BCBA,LEDE
BCBA,INVJ
BCBA,INTR
BCBA,IEB
BCBA,HSAT
BCBA,HARG
BCBA,GRIM
BCBA,GGAL
BCBA,GCLA
BCBA,GCDI
BCBA,GBAN
BCBA,GARO
BCBA,GAMI
BCBA,FERR
BCBA,EDSH
BCBA,EDN
BCBA,ECOG
BCBA,DOME
BCBA,DGCE
BCBA,CVH
BCBA,CTIO
BCBA,CRES
BCBA,COME
BCBA,CGPA2
BCBA,CEPU
BCBA,CELU
BCBA,CECO2
BCBA,CARC
BCBA,CAPX
BCBA,BYMA
BCBA,BPAT
BCBA,BOLT
BCBA,BMA
BCBA,BHIP
BCBA,BBAR
BCBA,AUSO
BCBA,ALNBF
BCBA,ALLFD
BCBA,ALAAD
BCBA,AGRO
BCBA,ADGPF
BCBA,ADBLF
BCBA,A3
